Nombre Streamer,Month Year,Total Subs,Subs Type Prime,Subs Type Tier 1($4.99),Subs Type Tier 2($9.99),Subs Type Tier 3($24.99),Subs Type Unlisted,Subs Type Gifted
XQC,September 2022,29828,12906,8930,38,41,7913,1125
XQC,August 2022,77180,31232,19156,91,161,26540,2624
XQC,July 2022,82051,34694,23544,112,87,23614,4611
XQC,June 2022,84713,34231,23081,122,88,27191,4656
XQC,May 2022,94120,38263,25592,130,103,30032,5742
XQC,April 2022,98230,44842,27471,153,117,25647,5057
XQC,March 2022,84412,36654,25448,157,107,22046,4308
XQC,February 2022,83719,33032,23789,142,88,26668,3628
XQC,January 2022,88296,38059,26956,157,107,23017,4665
XQC,December 2021,95699,43471,30383,191,150,21504,6381
XQC,November 2021,84012,37007,26034,304,153,20514,6248
XQC,October 2021,78294,32701,22934,92,93,22474,4519
XQC,September 2022,29828,12906,8930,38,41,7913,1125
XQC,August 2022,77180,31232,19156,91,161,26540,2624
XQC,July 2022,82051,34694,23544,112,87,23614,4611
XQC,June 2022,84713,34231,23081,122,88,27191,4656
XQC,May 2022,94120,38263,25592,130,103,30032,5742
XQC,April 2022,98230,44842,27471,153,117,25647,5057
XQC,March 2022,84412,36654,25448,157,107,22046,4308
XQC,February 2022,83719,33032,23789,142,88,26668,3628
XQC,January 2022,88296,38059,26956,157,107,23017,4665
XQC,December 2021,95699,43471,30383,191,150,21504,6381
XQC,November 2021,84012,37007,26034,304,153,20514,6248
XQC,October 2021,78294,32701,22934,92,93,22474,4519
XQC,September 2022,29828,12906,8930,38,41,7913,1125
XQC,August 2022,77180,31232,19156,91,161,26540,2624
XQC,July 2022,82051,34694,23544,112,87,23614,4611
XQC,June 2022,84713,34231,23081,122,88,27191,4656
XQC,May 2022,94120,38263,25592,130,103,30032,5742
XQC,April 2022,98230,44842,27471,153,117,25647,5057
XQC,March 2022,84412,36654,25448,157,107,22046,4308
XQC,February 2022,83719,33032,23789,142,88,26668,3628
XQC,January 2022,88296,38059,26956,157,107,23017,4665
XQC,December 2021,95699,43471,30383,191,150,21504,6381
XQC,November 2021,84012,37007,26034,304,153,20514,6248
XQC,October 2021,78294,32701,22934,92,93,22474,4519
XQC,September 2022,29828,12906,8930,38,41,7913,1125
XQC,August 2022,77180,31232,19156,91,161,26540,2624
XQC,July 2022,82051,34694,23544,112,87,23614,4611
XQC,June 2022,84713,34231,23081,122,88,27191,4656
XQC,May 2022,94120,38263,25592,130,103,30032,5742
XQC,April 2022,98230,44842,27471,153,117,25647,5057
XQC,March 2022,84412,36654,25448,157,107,22046,4308
XQC,February 2022,83719,33032,23789,142,88,26668,3628
XQC,January 2022,88296,38059,26956,157,107,23017,4665
XQC,December 2021,95699,43471,30383,191,150,21504,6381
XQC,November 2021,84012,37007,26034,304,153,20514,6248
XQC,October 2021,78294,32701,22934,92,93,22474,4519
XQC,September 2022,29828,12906,8930,38,41,7913,1125
XQC,August 2022,77180,31232,19156,91,161,26540,2624
XQC,July 2022,82051,34694,23544,112,87,23614,4611
XQC,June 2022,84713,34231,23081,122,88,27191,4656
XQC,May 2022,94120,38263,25592,130,103,30032,5742
XQC,April 2022,98230,44842,27471,153,117,25647,5057
XQC,March 2022,84412,36654,25448,157,107,22046,4308
XQC,February 2022,83719,33032,23789,142,88,26668,3628
XQC,January 2022,88296,38059,26956,157,107,23017,4665
XQC,December 2021,95699,43471,30383,191,150,21504,6381
XQC,November 2021,84012,37007,26034,304,153,20514,6248
XQC,October 2021,78294,32701,22934,92,93,22474,4519
XQC,September 2022,29828,12906,8930,38,41,7913,1125
XQC,August 2022,77180,31232,19156,91,161,26540,2624
XQC,July 2022,82051,34694,23544,112,87,23614,4611
XQC,June 2022,84713,34231,23081,122,88,27191,4656
XQC,May 2022,94120,38263,25592,130,103,30032,5742
XQC,April 2022,98230,44842,27471,153,117,25647,5057
XQC,March 2022,84412,36654,25448,157,107,22046,4308
XQC,February 2022,83719,33032,23789,142,88,26668,3628
XQC,January 2022,88296,38059,26956,157,107,23017,4665
XQC,December 2021,95699,43471,30383,191,150,21504,6381
XQC,November 2021,84012,37007,26034,304,153,20514,6248
XQC,October 2021,78294,32701,22934,92,93,22474,4519
