Nombre Streamer,Month Year,Total Subs,Subs Type Prime,Subs Type Tier 1($4.99),Subs Type Tier 2($9.99),Subs Type Tier 3($24.99),Subs Type Unlisted,Subs Type Gifted
AURONPLAY,September 2022,17158,7081,7570,22,10,2475,1751
AURONPLAY,August 2022,50796,21472,21601,58,25,7640,3761
AURONPLAY,July 2022,17099,7415,7073,21,12,2578,1475
AURONPLAY,June 2022,39439,16536,17176,44,22,5661,4032
AURONPLAY,May 2022,31377,13536,12829,41,19,4952,1927
AURONPLAY,April 2022,38241,17232,14952,53,27,5977,2943
AURONPLAY,March 2022,33396,14872,13482,48,25,4969,2767
AURONPLAY,February 2022,28982,12565,11976,42,19,4380,2568
AURONPLAY,January 2022,41660,17698,17793,61,41,6067,4133
AURONPLAY,December 2021,23457,9478,10498,46,46,3389,2141
AURONPLAY,November 2021,37331,13726,18616,58,45,4886,7457
AURONPLAY,October 2021,37567,16159,17213,84,50,4061,5125
AURONPLAY,September 2022,17158,7081,7570,22,10,2475,1751
AURONPLAY,August 2022,50796,21472,21601,58,25,7640,3761
AURONPLAY,July 2022,17099,7415,7073,21,12,2578,1475
AURONPLAY,June 2022,39439,16536,17176,44,22,5661,4032
AURONPLAY,May 2022,31377,13536,12829,41,19,4952,1927
AURONPLAY,April 2022,38241,17232,14952,53,27,5977,2943
AURONPLAY,March 2022,33396,14872,13482,48,25,4969,2767
AURONPLAY,February 2022,28982,12565,11976,42,19,4380,2568
AURONPLAY,January 2022,41660,17698,17793,61,41,6067,4133
AURONPLAY,December 2021,23457,9478,10498,46,46,3389,2141
AURONPLAY,November 2021,37331,13726,18616,58,45,4886,7457
AURONPLAY,October 2021,37567,16159,17213,84,50,4061,5125
AURONPLAY,September 2022,17158,7081,7570,22,10,2475,1751
AURONPLAY,August 2022,50796,21472,21601,58,25,7640,3761
AURONPLAY,July 2022,17099,7415,7073,21,12,2578,1475
AURONPLAY,June 2022,39439,16536,17176,44,22,5661,4032
AURONPLAY,May 2022,31377,13536,12829,41,19,4952,1927
AURONPLAY,April 2022,38241,17232,14952,53,27,5977,2943
AURONPLAY,March 2022,33396,14872,13482,48,25,4969,2767
AURONPLAY,February 2022,28982,12565,11976,42,19,4380,2568
AURONPLAY,January 2022,41660,17698,17793,61,41,6067,4133
AURONPLAY,December 2021,23457,9478,10498,46,46,3389,2141
AURONPLAY,November 2021,37331,13726,18616,58,45,4886,7457
AURONPLAY,October 2021,37567,16159,17213,84,50,4061,5125
