Nombres Streamers,AVG viewers,Time Streamed (hours),All time peak viewers,Hours watched,Rank,Followers gained,Total followers,Total views
AURONPLAY,132085,111.3,602038,,1,,,
ELSPREEN,89107,139,200921,,2,,,
XQC,58057,265.2,278176,,3,,,
KAICENAT,52631,238.3,132866,,4,,,
LEC,62056,122.8,400312,,5,,,
IBAI,58857,129,3356074,,6,,,
TARIK,45612,185.1,187886,,7,,,
ELMARIANA,56550,113.3,128442,,8,,,
LCK_KOREA,54855,120.3,623617,,9,,,
ADINROSS,59247,94.4,254923,,10,,,
VALORANT,37981,205.8,344755,,11,,,
LCS,35293,229.4,400429,,12,,,
ROCKETLEAGUE,72959,42.9,259144,,13,,,
PAULINHOLOKOBR,61134,68.7,149938,,14,,,
BLASTPREMIER,50770,103.2,270934,,15,,,
TRAINWRECKSTV,30606,231.7,82731,,16,,,
FPS_SHAKA,23412,319.3,73274,,17,,,
GAULES,12232,716.1,707648,,18,,,
ELIASN97,32929,190.5,189931,,19,,,
ESL_DOTA2,55461,65,263970,,20,,,
LOUD_CORINGA,43830,110.9,307450,,21,,,
ESL_CSGO,20391,361.9,562080,,22,,,
NIX,45161,94.8,150020,,23,,,
ROSHTEIN,23384,283.3,84977,,24,,,
LCK,53260,56.2,307586,,25,,,
JUANSGUARNIZO,35676,139.7,409967,,26,,,
HASANABI,32181,167,226974,,27,,,
RUBIUS,34680,132.6,372079,,28,,,
STYLISHNOOB4,16283,388.7,112628,,29,,,
RTAINJAPAN,40941,80.5,182595,,30,,,
PGL_DOTA2,33186,121.1,161982,,31,,,
CBLOL,44166,61.7,281184,,32,,,
ILLOJUAN,33871,114.8,172186,,33,,,
SHROUD,25698,181.2,516289,,34,,,
NICKMERCS,24133,184,371232,,35,,,
MIZKIF,32656,102.2,192216,,36,,,
MONTANABLACK88,43375,47.6,194927,,37,,,
CASIMITO,27180,137.2,534644,,38,,,
QUACKITYTOO,49779,17.2,140697,,39,,,
加藤純一です,23068,170.6,241593,,40,,,
OTPLOL_,7864,719.2,204072,,41,,,
LPL,29239,103.8,149720,,42,,,
LOLTYLER1,18162,219.6,368484,,43,,,
DOMINGO,27526,104.3,193354,,44,,,
SODAPOPPIN,18880,199.8,110052,,45,,,
ELRAENN,26595,107.6,163915,,46,,,
VALORANT_JPN,28084,94.1,113833,,47,,,
BRUCEDROPEMOFF,33358,60.7,69077,,48,,,
SUMMIT1G,12418,354.9,310998,,49,,,
ZERATOR,24625,121,707071,,50,,,
한동숙,17604,210.5,58017,,51,,,
LUQUET4,20364,163.7,92525,,52,,,
LVPES,21999,135.7,232608,,53,,,
LIRIK,20053,152.6,89170,,54,,,
BETBOOM_RU,18680,161.2,93935,,55,,,
RAINBOW6,28170,65.2,191703,,56,,,
AMINEMATUE,31556,44.6,137141,,57,,,
GEORGENOTFOUND,39509,7.1,387003,,58,,,
풍월량,14289,223.3,44351,,59,,,
NMPLOL,23311,88.6,85653,,60,,,
TENZ,24922,75.2,85010,,61,,,
WILBURSOOT,39113,5.6,215211,,62,,,
THEREALKNOSSI,29040,45.8,336065,,63,,,
QUIN69,12463,259.7,44153,,64,,,
CSGO_MC,17963,141.9,364816,,65,,,
울프,24075,75.9,105866,,66,,,
SQUEEZIE,36134,11.4,388941,,67,,,
CELLBIT,17019,153,151997,,68,,,
우왁굳,14432,200.9,44069,,69,,,
EVELONE192,32620,23.2,153742,,70,,,
YOURRAGEGAMING,19549,114.3,50469,,71,,,
GERARDROMERO,15333,177.8,146872,,72,,,
ANTOINEDANIEL,20052,103,74618,,73,,,
KAMET0,16345,149,419458,,74,,,
BUSTER,23818,64.1,162925,,75,,,
JLTOMY,13138,208.8,261719,,76,,,
ALANZOKA,17763,117.7,147051,,77,,,
BIYIN_,21939,71,174435,,78,,,
WARFRAME,32971,8.1,433736,,79,,,
MOONMOON,14577,162.1,42066,,80,,,
ZACKRAWRR,11131,246.3,40857,,81,,,
JUST_NS,16065,133.7,114216,,82,,,
K4SEN,14978,151.1,66627,,83,,,
GRONKH,19190,90.7,115784,,84,,,
ELXOKAS,10638,255.9,1208144,,85,,,
GABEPEIXE,10856,247,101307,,86,,,
AUSTINSHOW,30645,11.8,186197,,87,,,
WESTCOL,22478,53.4,45067,,88,,,
HISWATTSON,10815,235.1,21393,,89,,,
NOWAY4U_SIR,11928,201.7,39459,,90,,,
GORGC,12484,184.6,55738,,91,,,
TSM_IMPERIALHAL,16173,113.5,108815,,92,,,
RIVERS_GG,15384,122.2,67309,,93,,,
AMOURANTH,8606,304.7,33530,,94,,,
TFUE,12391,172.2,316214,,95,,,
IITZTIMMY,8760,290.6,138482,,96,,,
MOISTCR1TIKAL,13335,149.3,69435,,97,,,
ETOILES,14715,122.1,242237,,98,,,
TOMMYINNIT,28051,7.8,650237,,99,,,
YODA,10888,203.6,132814,,100,,,
PARADEEV1CH,23418,30.9,81966,,101,,,
CDAWGVA,15888,99.8,31802,,102,,,
CARRERAAA,13450,138.9,43252,,103,,,
DOUBLELIFT,14595,117.3,64735,,104,,,
JASPER7SE,13396,137.3,42321,,105,,,
TRYMACS,17285,77.9,365000,,106,,,
REBIRTHZTV,12770,143.3,47600,,107,,,
RANBOOLIVE,22595,27.7,346132,,108,,,
BUDDHA,10811,184.3,67137,,109,,,
VALORANT_BR,13834,117.8,120540,,110,,,
COHHCARNAGE,9165,217.7,68777,,111,,,
MIXWELL,16499,67.9,87546,,112,,,
EAMADDENNFL,21549,22.8,97361,,113,,,
KORESHZY,18936,40.4,64628,,114,,,
CAEDREL,13490,103.4,40670,,115,,,
CLIX,11055,150.9,101555,,116,,,
BAIANO,13405,103.8,130745,,117,,,
蝦愛橘子,3826,655,9944,,118,,,
EWROON,11623,136,34314,,119,,,
PRIMELEAGUE,17678,48,69881,,120,,,
THEBAUSFFS,14670,80.8,47879,,121,,,
BLAZERAFFLE,23614,6,37266,,122,,,
PONCE,11908,123.1,102442,,123,,,
INTOHEEKI,23173,5.2,39741,,124,,,
FABRIZIOROMANO,21702,13,73909,,125,,,
JERMA985,18679,32.5,101270,,126,,,
TUMBLURR,12984,96.8,45523,,127,,,
FORSEN,9771,164.8,80860,,128,,,
THEGAMEAWARDS,22405,5.6,257778,,129,,,
PENTA,9069,181.8,22781,,130,,,
WTCN,13390,85.3,113911,,131,,,
LLA,16807,44.1,302299,,132,,,
BYSL4M,11872,108.4,106769,,133,,,
CHOWH1,8685,189.5,59343,,134,,,
EMIRU,18220,28.3,51303,,135,,,
MISTERMV,11220,117.1,70183,,136,,,
TWITCHRIVALS,15229,54.7,189150,,137,,,
FEXTRALIFE,9505,157.6,213773,,138,,,
KENDINEMUZISYEN,12351,93.6,92142,,139,,,
GMHIKARU,10927,120.7,76963,,140,,,
POKEMONGO,18350,24.5,46297,,141,,,
THEGREFG,11692,102.1,2470347,,142,,,
EVELONE2004,17116,32.8,56415,,143,,,
ESPORTS_RAGE,19141,16.8,74276,,144,,,
IWDOMINATE,8344,188.2,26774,,145,,,
ERAY,10885,114.9,30042,,146,,,
FARFADOXVEVO,11186,108.5,51180,,147,,,
LOLPACIFICTW,14336,56.4,165491,,148,,,
LVNDMARK,8332,180.7,142376,,149,,,
SWEETDREAMS,8833,163,35754,,150,,,
ELAJJAZ,7114,227.4,22212,,151,,,
DISGUISEDTOAST,9776,132.7,61522,,152,,,
IRONMOUSE,9472,140.5,31343,,153,,,
DOTA2MC,13716,60.8,238996,,154,,,
ZERKAA,12294,78.4,37875,,155,,,
ABUGOKU9999,7478,203.6,34917,,156,,,
VYSOTZKY,10886,103.3,50297,,157,,,
CALL OF DUTY,17160,22.4,225308,,158,,,
CONTERSTINE,7533,199.3,62851,,159,,,
STROGO,17704,17.3,46255,,160,,,
ESFANDTV,6864,224.8,55398,,161,,,
OTZDARVA,8883,145.4,37035,,162,,,
SHXTOU,11991,77,34406,,163,,,
N3KOGLAI,17408,16.7,543743,,164,,,
POKIMANE,17328,17.3,138482,,165,,,
WHOPLOHOYPAREN,13300,56.6,71594,,166,,,
SHAHZAM,6491,238.2,35580,,167,,,
KYEDAE,10501,102.2,107583,,168,,,
CORINNAKOPF,13641,51.8,22874,,169,,,
HYPE,11132,88.6,54574,,170,,,
JBZZED,6820,217.9,18966,,171,,,
ACEU,9412,125.6,36749,,172,,,
PIUZINHO,9333,127.5,50979,,173,,,
서새봄냥,5275,314.6,40819,,174,,,
SINATRAA,7632,180.1,33601,,175,,,
FANUM,9666,117,25058,,176,,,
VOODOOSH,7089,201,31729,,177,,,
LVPES2,10431,97.1,94398,,178,,,
CASTRO_1021,10745,90.1,180269,,179,,,
BRATISHKINOFF,12410,61.6,146916,,180,,,
SILVERNAME,11683,72.4,47383,,181,,,
NINJA,12860,54.9,616693,,182,,,
SUPERBUSS_,8619,138.7,39799,,183,,,
NBA2KLEAGUE,12184,60.1,194136,,184,,,
STRAY228,9515,109.4,44560,,185,,,
KATIE_CALLS,15164,25.2,21707,,186,,,
WARCRAFT,11806,65.3,98596,,187,,,
K3SOJU,12273,58.3,29469,,188,,,
KATIE_NALLS,15321,23.4,24785,,189,,,
B0ATY,5689,260.1,42801,,190,,,
WIRTUAL,7587,165.7,15478,,191,,,
랄로,12779,49,43686,,192,,,
EDWIN_LIVE,7819,149.8,28820,,193,,,
PAYMONEYWUBBY,13638,34.7,44403,,194,,,
ENVIOSITY,4397,351.4,81491,,195,,,
ESL_DOTA2B,13585,34.3,69232,,196,,,
DIARIOMARCA,8510,123.9,54270,,197,,,
CRITICALROLE,12876,42.3,212816,,198,,,
괴물쥐123,6972,175.9,73569,,199,,,
COREANO,4595,326.9,62371,,200,,,
BECCA_PILLS,14879,20.3,24543,,201,,,
RECRENT,5435,254.2,47737,,202,,,
FUSLIE,10061,82.1,55550,,203,,,
ELDED,8077,130.8,54483,,204,,,
MARKITONAVAJA,15972,8.5,107980,,205,,,
QTCINDERELLA,12262,45.2,381436,,206,,,
PAULETA_TWITCH,10350,75,42305,,207,,,
MCH_AGG,2381,713.2,46841,,208,,,
침착맨,9371,93.9,43949,,209,,,
EGORKREED,10786,66.1,56996,,210,,,
MCKYTV,7532,144.7,76882,,211,,,
MAXIMILIAN_DOOD,9122,98.6,62310,,212,,,
SKIPNHO,5412,243,54389,,213,,,
릴파_,8422,114.1,38159,,214,,,
ALDO_GEO,8954,99.7,31934,,215,,,
TANZVERBOT,12525,38,32258,,216,,,
CHRISTIANVIERIOFFICIAL,14470,17,57964,,217,,,
RIOTGAMESTURKISH,11522,49.8,63733,,218,,,
YATORORAIN,9761,77.7,28460,,219,,,
KATIE_AALLS,13521,23.4,23895,,220,,,
YBICANOOOOBOV,6265,185.4,21005,,221,,,
PAPESAN,9765,75.3,23736,,222,,,
IMLS,5766,208.3,43612,,223,,,
SWAGG,9340,83.3,90947,,224,,,
릴카,5984,194.9,19976,,225,,,
DOPA24,11677,42.9,44614,,226,,,
BRAWLHALLA,12140,36.6,162409,,227,,,
AFROPUNK,13175,24.4,23833,,228,,,
らっだぁ,9360,81.4,31651,,229,,,
JOUEUR_DU_GRENIER,11440,45.3,181902,,230,,,
UNLEASHTHEFEASTTV,15088,5.8,26907,,231,,,
LYONWGFLIVE,14020,14.8,76770,,232,,,
CAROLA,6927,148.1,79320,,233,,,
39DAPH,6006,188,44646,,234,,,
비챤_,8106,107.4,19281,,235,,,
SHADOWKEKW,11586,39.9,34509,,236,,,
XAYOO_,14007,12.8,190279,,237,,,
SCUMP,13917,13.2,101779,,238,,,
老皮,6853,146.7,20032,,239,,,
JESUSAVGN,8316,99.4,106667,,240,,,
KNUT,5830,191.4,53655,,241,,,
YOUNGMULTI,10535,53.3,33776,,242,,,
JANKOS,10552,53,42426,,243,,,
KYLE,6067,177.5,28896,,244,,,
ARIGAMEPLAYS,9795,65,281402,,245,,,
김도,5561,201.4,16612,,246,,,
NORTHERNLION,8314,95.9,50421,,247,,,
FOOLISH_GAMERS,6792,143.1,133517,,248,,,
DAVOOXENEIZE,7591,115,16463,,249,,,
PGL_DOTA2EN2,8674,85.1,63328,,250,,,
KATIE_XALLS,12458,23.2,22913,,251,,,
POKELAWLS,7196,125.3,67746,,252,,,
POKEMON,9665,63.4,130432,,253,,,
DUKE,13157,15.6,45332,,254,,,
GALEGUINS,5483,198.9,46026,,255,,,
징버거,7098,127.1,16864,,256,,,
SHYLILY,6588,145.1,26223,,257,,,
BLACKELESPANOLITO,6248,159.1,41836,,258,,,
KNEKRO,6176,161.1,59165,,259,,,
AGENT00,6960,129.3,19060,,260,,,
ZEVENT,9819,57.5,137266,,261,,,
ZIZARAN,5995,168.4,30289,,262,,,
SPYGEA,6484,146.5,60772,,263,,,
BUSTEROID1337,11066,37.2,23387,,264,,,
PERXITAA,7255,116.1,77009,,265,,,
다주,6464,144.4,42675,,266,,,
TRASHTASTEPODCAST,13666,6.8,53310,,267,,,
ZEALSAMBITIONS,4089,292.5,26665,,268,,,
WANKILSTUDIO,11341,30.4,32755,,269,,,
GOTAGA,7992,91.5,405271,,270,,,
BICHOUU_,6023,156.8,34148,,271,,,
KATIE_WALLS,11661,24.1,22925,,272,,,
CHILLEDCHAOS,6469,136.2,23613,,273,,,
KATIE_MALLS,11570,24.5,27026,,274,,,
