Nombres Streamers,Current Active Subs,Subs Type Paid,Subs Type Prime,Subs Type Gifted,Subs Type Tier 1($4.99),Subs Type Tier 2($9.99),Subs Type Tier 3($24.99)
EWROON,8158,3707,3469,2334,3686,7,14
DOKTORFROID,8154,6370,1242,4692,6299,52,19
ANTOINEDANIEL,8115,3670,3287,801,3595,51,24
MOONRYDE,8091,?,?,1255,?,27,23
JERMA985,8046,3123,3793,700,3100,13,10
AUSSIEANTICS,8024,5024,2184,3070,4993,17,14
MANG0,8011,5209,1972,2845,5151,30,28
依渟,7997,7876,7,7142,7786,4,86
FL0M,7992,6035,1438,4767,5996,19,20
B0ATY,7906,2254,4441,499,2219,20,15
IWDOMINATE,7883,?,?,1534,?,17,6
CDAWGVA,7821,4088,2812,2433,4048,31,9
ANTHONYZ,7805,7140,663,3305,7077,37,26
FRTTT,7759,2332,4321,1048,2315,14,3
TECTONE,7749,6588,1060,2835,6468,45,75
CHILLEDCHAOS,7681,4818,1945,2286,4743,46,29
加藤純一です,7648,1705,4776,415,1701,2,2
MCH_AGG,7614,2704,3869,990,2700,3,1
ENVIOSITY,7605,5531,1612,4650,5499,19,13
BADDIE,7551,?,?,5164,?,98,69
TANZVERBOT,7512,4700,2203,3827,4685,6,9
MAXIMILIAN_DOOD,7493,4109,2345,1472,4035,53,21
AGRAELUS,7441,5624,860,1705,5568,34,22
FROSTPRIME_,7400,?,?,4556,?,47,42
JUJALAG,7337,2410,3925,1243,2400,7,3
DIRKNEUENFELS,7331,?,?,5924,?,55,47
OTZDARVA,7317,3097,3198,1055,3051,29,17
美心唷,7300,?,?,6938,?,39,36
SWEETDREAMS,7299,4783,1756,2664,4683,50,50
SIRGIME,7274,?,?,6911,?,1,1
우왁굳,7254,5882,162,166,5827,23,32
MITCHFLOWERPOWER,7242,?,?,5993,?,19,26
CLIX,7233,4497,2036,2885,4359,80,58
TFUE,7197,3229,2844,739,3204,13,12
THEREALMARZAA,7192,1881,4290,780,1869,6,6
JYNXZI,7161,?,?,1521,?,6,2
SUPERBUSS_,7130,6126,134,1853,6112,8,6
DALTOOSH,7125,4383,1752,1300,4324,41,18
ELAJJAZ,7073,3897,2337,1998,3797,59,41
AVOIDINGTHEPUDDLE,7070,3394,2718,1099,3293,58,43
OHNEPIXEL,7026,?,?,2933,?,15,28
MURDERCRUMPET,6997,6613,230,5866,6565,12,36
MYM_ALKAPONE,6986,1913,4040,334,1906,4,3
FOOLISH_GAMERS,6951,3942,2082,1061,3913,18,11
KNUT,6949,5067,1416,4117,5017,9,41
BLACKELESPANOLITO,6934,1926,3929,315,1926,0,0
TRYMACS,6879,1411,4391,323,1398,9,4
SMALLANT,6838,5485,1355,878,5375,60,50
PAYO,6809,4734,1597,3791,4648,44,42
COTTONTAILVA,6732,?,?,5360,?,61,110
LOSPOLLOSTV,6723,4010,1970,2055,4003,5,2
ZANOXVII,6709,942,4672,166,936,2,4
PIKABOOIRL,6634,5904,538,5381,5865,4,35
SHAHZAM,6613,2656,3085,1143,2589,32,35
SWEATCICLE,6576,3518,2244,1964,3404,68,46
ESFANDTV,6574,4526,1466,2929,4480,20,26
ELDED,6517,2819,2670,245,2759,26,34
VYSOTZKY,6461,510,4969,63,505,4,1
MCKYTV,6457,3275,2405,1569,3247,13,15
AILENAX,6456,6174,161,5539,6117,24,33
CAPTURESCA,6427,6376,51,6121,6352,10,14
MOOSEBROTHER,6413,?,?,5422,?,9,5
ANETERNALENIGMA,6399,?,?,5340,?,71,103
BOXYFRESH,6368,4399,1314,2572,4290,54,55
RIVERS_GG,6365,3595,2029,1532,3582,6,7
QUIN69,6362,3101,2518,1845,3049,19,33
CYDONIA_CHIARA,6335,2335,3108,952,2318,8,9
NIHMUNE,6263,5808,270,5014,5705,23,80
POKELAWLS,6237,3101,2409,1691,3091,4,6
MOGSY,6235,?,?,5336,?,100,68
JINNYTTY,6181,5331,582,4435,5281,12,38
PUNZ,6118,3941,1441,1752,3900,32,9
SHROUD,6107,2471,2798,912,2452,7,12
DHALUCARD,6087,3407,1941,1715,3296,55,56
LILSIMSIE,6086,2422,2713,261,2356,52,14
TOMATO,6068,5428,642,1760,5312,72,44
PIETSMIET,6047,2903,2453,1778,2857,31,15
NORTHERNLION,6020,2238,2896,755,2213,17,8
QTCINDERELLA,6016,2759,1690,684,2750,5,4
IMLS,6014,3046,2246,1471,3019,20,7
MISTERMV,6006,2549,2530,264,2476,57,16
NIKLASWILSON,5976,3155,2061,1404,3142,8,5
JASMINBECKMUSIC,6109,?,?,5781,?,22,17
GOTAGA,5931,2725,2355,298,2693,21,11
HITBOXKING,5910,3372,2537,947,3356,8,8
JULIEN,5904,3692,1393,1044,3471,166,55
NMPLOL,5885,3537,1710,1930,3501,11,25
HAYASHII,5885,3344,2540,1357,2916,261,167
SIDNEYEWEKA,5864,3221,1997,1942,3212,7,2
IM_DONTAI,5842,3720,1431,1600,3705,11,4
IITZTIMMY,5825,3435,1657,1527,3395,13,27
STAIY,5794,2543,2508,1111,2494,30,19
CHEEKYGAMBLERS,5787,?,?,4725,?,10,1
GLADD,5785,?,?,1873,?,65,75
FUSLIE,5768,3361,1711,1382,3320,20,21
RTAINJAPAN,5759,3552,1830,3261,3550,1,1
RRAENEE,5753,2231,2676,575,2211,8,12
WHIPPY,5669,?,?,2765,?,33,29
JUICYJOHNS,5664,?,?,5187,?,2,2
BT0TV,5646,2485,2459,1010,2481,2,2
TUBBO,5636,4547,1098,567,4521,17,9
KNEKRO,5623,1151,3612,359,1129,15,7
CDNTHE3RD,5611,3587,1450,2173,3506,43,38
PAULETA_TWITCH,5584,2646,2194,836,2642,4,0
ELOSANTA,5446,?,?,1505,?,31,13
JOE_BARTOLOZZI,5429,4189,1241,2195,4166,7,16
ANGRYPUG,5424,4066,942,2856,3997,41,28
THE_HAPPY_HOB,5415,4042,964,3038,4006,22,14
K4SEN,5414,1377,3194,347,1376,0,1
GTAWISEGUY,5387,4599,497,3617,4564,18,17
AC7IONMAN,5372,4643,484,3828,4595,38,10
TOLKINLOL,5355,2577,2193,1748,2548,16,13
XTHESOLUTIONTV,5340,3620,1284,2697,3600,11,9
IFAS_CORE,5285,5184,80,4875,5145,18,21
JASONR,5268,4662,440,4119,4630,8,24
THEREALKNOSSI,5268,1700,2828,422,1675,18,7
TENZ,5253,1785,2655,255,1764,14,7
GMHIKARU,5249,2150,2437,1048,2126,17,7
AYDAN,5243,3815,947,2166,3768,18,29
QUICKYBABY,5226,1752,2733,1045,1719,22,11
S0MCS,5219,2860,1795,1774,2844,11,5
AVACROWN_,5197,?,?,4724,?,7,4
中信兄弟官方頻道,5168,4284,60,179,4260,12,12
GSXRCLYDE,5145,3966,837,3004,3913,23,30
CHESSBRAH,5095,4116,715,3369,3984,6,126
VIDEOYUN,5077,1157,3159,522,1124,12,21
BAIANO,5071,681,3559,57,676,5,0
THEMRSARK,5046,4338,474,3545,4269,36,33
MITHRAIN,5025,1988,2342,679,1926,22,40
