URL imagen Streamer,Nombres Streamers,AVG viewers,Time Streamed,All time peak viewers,Hours watched,Rank,Followers gained,Total followers,Total views
"
<a href=""/jrkz"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e3b2ffab-828f-4b17-ac22-d944cfaaa755-profile_image-300x300.png"">
</a>
",JRKZ,"4,571","87.2
hours","19,115",399K,564,+6.6K,638K,32.0M
"
<a href=""/yukiofps14"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/457abaa2-37eb-49b3-a8b5-aafb2f91ecfc-profile_image-300x300.png"">
</a>
",ゆきお2,"3,304","165
hours","31,289",545K,565,+3.8K,134K,2.97M
"
<a href=""/gigguk"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/b83ae892-aa5c-41ac-a79f-c4acacb9ed8e-profile_image-300x300.png"">
</a>
",GIGGUK,"5,899","41.1
hours","12,393",242K,566,+27.9K,274K,662K
"
<a href=""/cameliaaa92"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/db2c47da-01a1-4340-aeb3-7913917bda89-profile_image-300x300.png"">
</a>
",CAMELIAAA92,"3,846","124.8
hours","11,368",480K,567,+17.4K,172K,--
"
<a href=""/chess"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/320d61dc-5202-44ad-a203-8a8d7a9cbfa9-profile_image-300x300.png"">
</a>
",CHESS,"5,171","62.7
hours","139,185",324K,568,+3.0K,817K,348M
"
<a href=""/tyceno"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/1648a514-021c-4f4c-928b-4d4d43e933ba-profile_image-300x300.png"">
</a>
",TYCENO,"4,837","75
hours","44,487",363K,569,+14.3K,640K,5.17M
"
<a href=""/xthesolutiontv"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/xthesolutiontv-profile_image-60407df7245fee58-300x300.png"">
</a>
",XTHESOLUTIONTV,"3,235","169.6
hours","32,937",549K,570,+9.1K,587K,12.4M
"
<a href=""/c_a_k_e"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/4567e426-ebf4-406b-95e4-bcf92bd9b93c-profile_image-300x300.jpeg"">
</a>
",C_A_K_E,"3,674","135.4
hours","34,112",497K,571,+1.3K,341K,89.7M
"
<a href=""/mount"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/41db2352-66da-489d-a058-c9349db3c830-profile_image-300x300.png"">
</a>
",MOUNT,"2,565","243.7
hours","35,951",625K,572,+13.5K,781K,30.3M
"
<a href=""/saruei"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/227d7346-f72d-42ad-844a-99594155faa2-profile_image-300x300.png"">
</a>
",SARUEI,"2,195","304.3
hours","9,357",668K,573,+11.0K,351K,5.31M
"
<a href=""/fritz_meinecke"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/4783a1bc-87c0-4c6a-bb8d-6372340a42e3-profile_image-300x300.png"">
</a>
",FRITZ_MEINECKE,"6,302","29.9
hours","24,193",189K,574,+17.2K,356K,2.84M
"
<a href=""/noctaq"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/d2f1624d-7b38-4280-a41e-c594d9d74ab1-profile_image-300x300.png"">
</a>
",NOCTAQ,"5,874","40.4
hours","97,687",237K,575,+9.4K,189K,2.08M
"
<a href=""/chaoticmuch"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/c226b950-c693-4993-b236-61cc169c690a-profile_image-300x300.png"">
</a>
",CHAOTICMUCH,"2,653","230.9
hours","10,820",613K,576,+41.2K,129K,1.55M
"
<a href=""/rogue"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/9d6ab25e-f93f-4a0a-bd0b-0d1a655cd57e-profile_image-300x300.png"">
</a>
",ROGUE,"4,102","107.9
hours","29,984",443K,577,+6.0K,771K,23.6M
"
<a href=""/xth0rek"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/d28f1eee-596c-4f89-88c4-5ae2b787e5b2-profile_image-300x300.png"">
</a>
",XTH0REK,"4,111","107.3
hours","13,015",441K,578,+2.0K,251K,15.7M
"
<a href=""/xkwhd"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/00d773d6-0c5c-443a-947a-f3d765b95b4e-profile_image-300x300.jpg"">
</a>
",피닉스박1,"2,635","232.4
hours","18,114",612K,579,+9.7K,221K,22.4M
"
<a href=""/looksam"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/d1c04945-21aa-4e5b-8b94-86f2be895e0d-profile_image-300x300.png"">
</a>
 ",룩삼,"3,324","159.9
hours","32,932",532K,580,+1.9K,299K,46.7M
"
<a href=""/kinggothalion"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e474c138-010a-41ca-9fce-4c09349a1878-profile_image-300x300.png"">
</a>
",KINGGOTHALION,"3,368","156.1
hours","86,264",526K,581,+3.4K,964K,49.5M
"
<a href=""/axtlol"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/axtlol-profile_image-97bf65050bc4cb87-300x300.png"">
</a>
",AXTLOL,"2,976","190.7
hours","50,764",567K,582,+1.4K,877K,60.8M
"
<a href=""/lospollostv"" target=""_blank"">
 <img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/lospollostv-profile_image-4bdc1a69a5985dc8-300x300.jpeg"">
</a>
",LOSPOLLOSTV,"4,063","108.2
hours","57,589",439K,583,+3.0K,684K,23.1M
"
<a href=""/lossimpson24horas2022"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/34a18817-0fb5-4c29-adfc-b68ce863166f-profile_image-300x300.jpeg"">
</a>
",LOSSIMPSON24HORAS2022,"1,984","341.5
hours","4,703",678K,584,+21.8K,33.4K,1
"
<a href=""/esl_csgob"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/88ebc32c-7684-4cbd-a4fe-c26997ad8875-profile_image-300x300.jpeg"">
</a>
",ESL_CSGOB,"3,859","118.7
hours","198,845",458K,585,+9.7K,952K,67.0M
"
<a href=""/becca_kills"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e99ca3cd-c482-4358-ba3e-2a634deaa638-profile_image-300x300.jpeg"">
</a>
",BECCA_KILLS,"6,767","17.6
hours","8,367",119K,586,+6,6,--
"
<a href=""/pietsmiet"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/f1518fb2-01a7-4414-b34d-e2842d20cbef-profile_image-300x300.png"">
</a>
",PIETSMIET,"5,125","60.4
hours","125,743",310K,587,+1.8K,747K,59.3M
"
<a href=""/fpsthailand"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/7fbadc44-6f9e-4c64-9943-2cbe453f1f0e-profile_image-300x300.png"">
</a>
",FPSTHAILAND,"2,887","195.8
hours","55,381",565K,588,+6.0K,535K,80.3M
"
<a href=""/blackufa"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/765f4978b39deed4-profile_image-300x300.jpeg"">
</a>
",BLACKUFA,"3,787","121.4
hours","18,921",460K,589,+2.4K,331K,59.2M
"
<a href=""/teamfighttactics"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/a530338b-dd3b-4461-94b7-bd6eec19792f-profile_image-300x300.png"">
</a>
",TEAMFIGHTTACTICS,"5,020","62.9
hours","15,937",316K,590,+7.5K,72.4K,813K
"
<a href=""/tenderlybae"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/80876e8f-6c6f-45d7-ad3c-a617aacdfc73-profile_image-300x300.png"">
</a>
",TENDERLYBAE,"6,907","13.5
hours","72,647",93.1K,591,+17.9K,1.17M,9.46M
"
<a href=""/duendepablo"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/duendepablo-profile_image-ed26f1563b2056ec-300x300.png"">
</a>
",DUENDEPABLO,"2,679","218.7
hours","31,018",586K,592,+1.9K,923K,39.4M
"
<a href=""/scarra"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/8bd07ef046330084-profile_image-300x300.jpeg"">
</a>
",SCARRA,"2,896","193.2
hours","42,650",560K,593,+2.8K,1.60M,113M
"
<a href=""/xhibaoger"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/48a05b7f-57ee-408b-8ac2-e05966f62dfc-profile_image-300x300.png"">
</a>
",火暴可可,"6,552","20.3
hours","20,341",133K,594,+6.8K,197K,10.6M
"
<a href=""/icebergdoto"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/ea30c00f-3247-4045-bcc7-c941a7ea1ac7-profile_image-300x300.jpg"">
</a>
",ICEBERGDOTO,"3,891","113.9
hours","29,800",443K,595,+8.5K,355K,26.2M
"
<a href=""/galaxyracersea"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/3d5f606d-3f8b-40dc-b07e-9e779cf2ea29-profile_image-300x300.jpeg"">
</a>
",GALAXYRACERSEA,"5,935","34.3
hours","18,265",203K,596,+9.3K,9.5K,42
"
<a href=""/pokerstars"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/8ba5f5ba-1e1c-47a5-8c9e-f3bfc1a9e5e8-profile_image-300x300.png"">
</a>
",POKERSTARS,"3,533","136.3
hours","29,491",482K,597,+9.4K,306K,31.7M
"
<a href=""/tomato"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/9755c8d0-1444-46c0-b19c-925ea3d1c7ae-profile_image-300x300.png"">
</a>
",TOMATO,"4,395","86.5
hours","9,319",380K,598,+983,141K,8.04M
"
<a href=""/sommerset"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/ced31775-5eb0-458a-b3c2-bd94b3587ec1-profile_image-300x300.png"">
</a>
",SOMMERSET,"2,070","314.6
hours","26,079",651K,599,+30.0K,1.27M,26.8M
"
<a href=""/ray__c"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/f512830e-6f28-47b9-aa05-caded2e75c26-profile_image-300x300.png"">
</a>
",RAY__C,"2,396","255.3
hours","75,789",612K,600,+2.3K,517K,22.3M
"
<a href=""/skermz"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/58f82d32-db49-48ae-a914-cbcd61a9c27b-profile_image-300x300.png"">
</a>
",SKERMZ,"3,638","127.9
hours","5,059",465K,601,+7.5K,97.8K,1.16M
"
<a href=""/mightyteapot"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/mightyteapot-profile_image-84eb223f451aa249-300x300.png"">
</a>
",MIGHTYTEAPOT,"3,182","162.8
hours","23,620",518K,602,+13.9K,74.6K,5.57M
"
<a href=""/litkillah"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/49d93bca-ab1b-401a-8775-2f06af4b71d4-profile_image-300x300.png"">
</a>
",LITKILLAH,"7,070","9
hours","103,784",63.2K,603,+17.9K,2.45M,20.4M
"
<a href=""/kkatamina"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/2f114623-32cd-470c-8622-3b5cab87c905-profile_image-300x300.png"">
</a>
",KKATAMINA,"3,990","105.7
hours","38,758",422K,604,+9.0K,534K,14.9M
"
<a href=""/restiafps"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/5a2570e7-b7c0-4468-ac6b-f197028400ef-profile_image-300x300.png"">
</a>
",瑞斯帝亞,"2,730","208
hours","20,609",568K,605,+7.0K,180K,13.4M
"
<a href=""/bystaxx"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/5a74ee2b-fdc4-4e18-b571-9118ca5ecbff-profile_image-300x300.png"">
</a>
",BYSTAXX,"5,250","51.8
hours","269,907",272K,606,+23.6K,2.06M,30.8M
"
<a href=""/nadeshot"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/nadeshot-profile_image-117d4d07e78d767a-300x300.png"">
</a>
",NADESHOT,"5,936","31.9
hours","89,778",189K,607,+13.6K,1.91M,62.4M
"
<a href=""/albaara"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/d26646e4-e1a0-4974-8186-e58823cd9bba-profile_image-300x300.png"">
</a>
",ALBAARA,"3,204","158
hours","16,655",506K,608,+25.0K,214K,21.3K
"
<a href=""/mazellovvv"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/0f76d48c-af13-409e-bd5b-0bc409a06e9c-profile_image-300x300.png"">
</a>
",MAZELLOVVV,"5,776","35.4
hours","18,458",204K,609,+27.4K,452K,5.22M
"
<a href=""/realzbluewater"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/9047ecac-d3bc-40fb-9849-ca7be2485864-profile_image-300x300.png"">
</a>
",REALZBLUEWATER,"2,159","289.9
hours","43,644",626K,610,+307,110K,375K
"
<a href=""/zeventplays"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/6f232729-91a8-4f43-9a3e-21b1d8b32c4e-profile_image-300x300.png"">
</a>
",ZEVENTPLAYS,"5,095","55.6
hours","8,899",283K,611,+28.5K,34.4K,--
"
<a href=""/smoke"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e4a46d5d-caf0-4ac8-9b52-751fde9c0371-profile_image-300x300.png"">
</a>
",SMOKE,"4,345","84.9
hours","31,955",369K,612,+2.1K,273K,15.7M
"
<a href=""/shotz"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/2c1eabb0-c2c3-474a-a9be-593de0452486-profile_image-300x300.png"">
</a>
",SHOTZ,"2,938","181
hours","17,120",532K,613,+2.5K,328K,21.0M
"
<a href=""/nightblue3"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/7e8cf45d-997b-4fcd-a077-b0df29181424-profile_image-300x300.png"">
</a>
",NIGHTBLUE3,"4,587","73.6
hours","90,231",338K,614,+3.5K,2.72M,257M
"
<a href=""/liminhag0d"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/308fa859-303d-44eb-a383-96eb6c18e78a-profile_image-300x300.png"">
</a>
",LIMINHAG0D,"1,665","406.9
hours","56,534",678K,615,+5.9K,559K,25.3M
"
<a href=""/becca_zills"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/02bc6203-c3ca-40ee-b47e-1f998ef5efa2-profile_image-300x300.jpeg"">
</a>
",BECCA_ZILLS,"6,093","26.2
hours","7,088",160K,616,+19,1.7K,--
"
<a href=""/sypherpk"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/75260307-584a-4eb7-99ba-d2708d27795e-profile_image-300x300.png"">
</a>
",SYPHERPK,"3,731","116.2
hours","148,785",433K,617,+16.5K,6.01M,112M
"
<a href=""/pestily"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/97eba442-5f6b-42a2-8d3e-9067699077b7-profile_image-300x300.png"">
</a>
",PESTILY,"3,423","137
hours","244,422",469K,618,+1.7K,1.21M,69.5M
"
<a href=""/relaxing234"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/relaxing234-profile_image-dca86ad2695fcaac-300x300.png"">
</a>
",RELAXING234,"4,480","77.2
hours","56,011",346K,619,+952,452K,55.3M
"
<a href=""/dreadztv"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e87a0ccf-dabc-41e9-80a3-56c41d4a5455-profile_image-300x300.png"">
</a>
",DREADZTV,"3,106","161.3
hours","51,454",501K,620,+1.7K,690K,199M
"
<a href=""/kaydop"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/31f55e56-e55f-4435-b967-568ebc843a66-profile_image-300x300.png"">
</a>
",KAYDOP,"4,141","91.8
hours","50,600",380K,621,+4.4K,668K,18.0M
"
 <a href=""/johnny3047258"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/6f11b44f-d899-4d0b-ae1b-e3f81f61f414-profile_image-300x300.png"">
</a>
",죠니니,"3,189","153.4
hours","13,712",489K,622,+3.6K,95.9K,5.59M
"
<a href=""/takesipon"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/0d261e78-1447-4968-b25e-7823cd5723fb-profile_image-300x300.png"">
</a>
",踢虧,"3,355","139.9
hours","18,587",469K,623,+1.8K,114K,22.9M
"
<a href=""/jarnoopmeer"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/add0353a-e399-4412-b76c-c2dd88dc267f-profile_image-300x300.png"">
</a>
",JARNOOPMEER,"5,083","52.7
hours","18,929",268K,624,+10.1K,231K,2.14M
"
<a href=""/jackmanifoldtv"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/c8cc1739-d4e7-469d-a3a5-0b53d9a1dff1-profile_image-300x300.png"">
</a>
",JACKMANIFOLDTV,"5,909","28.9
hours","175,423",171K,625,+13.4K,1.89M,17.2M
"
<a href=""/pathofexilebota"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/871ab993-fc44-4beb-80a5-a7a4835a2c6c-profile_image-300x300.png"">
</a>
",PATHOFEXILEBOTA,"2,758","194.7
hours","12,611",537K,626,+2.6K,62.5K,10.1M
"
<a href=""/baoo"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/26fac640-e78a-49f4-8ab2-8d12b92574c6-profile_image-300x300.png"">
</a>
",BAOO,"2,584","215.1
hours","22,711",556K,627,+27.6K,379K,2.18M
"
<a href=""/cydonia_chiara"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/25c80e9e-be82-4e4b-91e5-f075fcf18a65-profile_image-300x300.png"">
</a>
",CYDONIA_CHIARA,"3,396","135.4
hours","19,473",460K,628,+4.4K,136K,6.00M
"
<a href=""/dkayed"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/4ce0cca3-d9bf-4227-9db3-c1ad1cce589e-profile_image-300x300.jpeg"">
</a>
",DKAYED,"4,759","62.6
hours","21,147",298K,629,+1.6K,186K,34.7M
"
<a href=""/btssmash2"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/903a62ea-49a1-4279-8e50-c1b1a8a36913-profile_image-300x300.jpg"">
 </a>
",BTSSMASH2,"4,352","79.1
hours","30,477",344K,630,+10.2K,84.4K,1.44M
"
<a href=""/truegeordie"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/10dfd28b-f448-4326-94db-02be1b275934-profile_image-300x300.png"">
</a>
",TRUEGEORDIE,"5,868","28.3
hours","47,382",166K,631,+3.6K,279K,18.8M
"
<a href=""/odablock"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/068b4437-2146-44ab-98ed-d1bc02b85d60-profile_image-300x300.png"">
</a>
",ODABLOCK,"2,534","218.7
hours","49,656",554K,632,+3.3K,254K,13.1M
"
<a href=""/atk"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/4c942b5a-467d-4cc2-9f69-07fa1ecfd0d5-profile_image-300x300.png"">
</a>
",ATK,"1,756","366.1
hours","7,796",643K,633,+4.5K,99.8K,7.48M
"
<a href=""/becca_eills"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/f20772cf-90ed-4b9f-af80-ed709e253e52-profile_image-300x300.png"">
</a>
",BECCA_EILLS,"6,058","23.3
hours","9,254",141K,634,+12,1.7K,--
"
<a href=""/brucegrannec"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/bdc4a4d7-2639-426a-8c73-5cbc4928c24a-profile_image-300x300.png"">
</a>
",BRUCEGRANNEC,"3,722","110.3
hours","43,188",410K,635,+5.5K,637K,35.0M
"
<a href=""/lol_ambition"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/8d9d49f3-d744-495b-ba28-facc57dc9381-profile_image-300x300.png"">
</a>
",앰비션_,"3,395","132.1
hours","64,161",449K,636,+3.0K,469K,54.9M
"
<a href=""/leechunhyang"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/21af3d33e8fdcfe9-profile_image-300x300.jpeg"">
</a>
",이춘향,"2,096","286.3
hours","12,515",600K,637,+3.2K,242K,22.6M
"
<a href=""/runner0608"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e5da145b-14f7-4555-a550-5d5c9a1d96cf-profile_image-300x300.png"">
</a>
",러너교,"3,266","141.9
hours","20,253",463K,638,+937,251K,25.2M
"
<a href=""/amemiyanazuna"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/049aa1da-739f-45dc-b81b-7f530e2bbc3c-profile_image-300x300.png"">
</a>
",飴宮なずな,"5,031","50.7
hours","53,934",255K,639,+17.3K,229K,--
"
<a href=""/bigfloetolilive"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e75c8b35-1b05-42da-ac8f-d9e6a6b73c38-profile_image-300x300.png"">
</a>
",BIGFLOETOLILIVE,"6,533","12.2
hours","15,910",79.9K,640,+35.4K,174K,1.11M
"
<a href=""/slrabbit99"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/5b8327ca-df4d-454b-baee-79d68f1707fb-profile_image-300x300.png"">
</a>
",貝克,"1,018","707.6
hours","14,749",720K,641,+111,109K,30.4M
"
<a href=""/zentreya"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/cd7b2c6c-9033-4cb6-8ccf-6972282eb098-profile_image-300x300.png"">
</a>
",ZENTREYA,"3,609","115.9
hours","25,817",418K,642,+7.9K,357K,7.16M
"
<a href=""/slimecicle"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/slimecicle-profile_image-7904623187eb5c18-300x300.png"">
</a>
",SLIMECICLE,"6,653","9.5
hours","58,382",62.9K,643,+12.0K,999K,2.44M
"
<a href=""/bbbb87"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/2183ffaa-1d87-4385-b16e-4c16e64b393d-profile_image-300x300.png"">
</a>
",世誠,"3,837","102
hours","19,598",391K,644,+2.5K,122K,16.1M
"
<a href=""/jonvlogs"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/293a4ebf-ab23-4fe1-9618-ed03de924c7e-profile_image-300x300.png"">
</a>
",JONVLOGS,"5,095","47.8
hours","21,617",243K,645,+18.8K,1.05M,13.4M
"
<a href=""/sardoche"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/2b1b9e13-5b9f-41ee-b375-54d3c6491bb2-profile_image-300x300.png"">
</a>
",SARDOCHE,"3,093","153.9
hours","146,958",476K,646,+1.8K,1.31M,120M
"
<a href=""/mother3rd"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/296ec4d2-ec6b-4ae9-aae5-33ed1941e368-profile_image-300x300.png"">
</a>
",MOTHER3RD,"2,697","193.1
hours","37,974",521K,647,+13.9K,150K,3.28M
"
<a href=""/ac7ionman"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/56110663-50f4-49a2-9174-442fc053a0b8-profile_image-300x300.png"">
</a>
",AC7IONMAN,"1,866","330.9
hours","22,397",617K,648,+12.0K,650K,5.56M
"
<a href=""/terracid"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/terracid-profile_image-d0b3a49fe9db5777-300x300.jpeg"">
</a>
",TERRACID,"4,384","73.8
hours","18,290",323K,649,+12.9K,805K,12.6M
"
<a href=""/lazvell"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/750c9ba5-f559-4e2f-b651-8b59ef2fca72-profile_image-300x300.png"">
</a>
",LAZVELL,"6,310","15.5
hours","22,111",97.9K,650,+6.0K,218K,5.15M
"
<a href=""/vinesauce"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/b5dc0add-a5cc-47ea-8562-b23fee4b4267-profile_image-300x300.png"">
</a>
",VINESAUCE,"4,956","51.4
hours","19,347",255K,651,+1.8K,537K,41.0M
"
<a href=""/r6esportsbr"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/bb0324d2-4641-4d4a-b228-da5fa42d8fb1-profile_image-300x300.png"">
</a>
",R6ESPORTSBR,"4,541","66.6
hours","87,521",303K,652,+2.6K,552K,48.4M
"
<a href=""/hudsonamorim1"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/ab9e18f6-cd52-4c15-a83f-32950ddd014d-profile_image-300x300.png"">
</a>
",HUDSONAMORIM1,"4,031","89.7
hours","12,878",362K,653,+20.3K,207K,4
"
<a href=""/yayster"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/d0da81cb-ec1e-436c-91dd-21ecf529e15f-profile_image-300x300.jpeg"">
</a>
",YAYSTER,"6,627","8.9
hours","20,103",58.9K,654,+6.5K,240K,926K
