URL imagen Streamer,Nombres Streamers,AVG viewers,Time Streamed,All time peak viewers,Hours watched,Rank,Followers gained,Total followers,Total views
"
<a href=""/loud_coringa"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/c07acddc-1e1b-479f-97c4-09636f80e857-profile_image-300x300.png"">
</a>
",LOUD_CORINGA,"43,830","110.9
hours","307,450",4.86M,21,+75.9K,3.47M,50.8M
"
<a href=""/esl_csgo"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-300x300.jpeg"">
</a>
",ESL_CSGO,"20,391","361.9
hours","562,080",7.38M,22,+40.7K,5.56M,770M
"
<a href=""/nix"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/c8ff98b9-b235-47c1-8079-ad10f5099dc2-profile_image-300x300.png"">
</a>
",NIX,"45,161","94.8
hours","150,020",4.28M,23,+42.6K,316K,18.7M
"
<a href=""/roshtein"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/ab4a35d8-8008-41b8-b0e5-db622e4c0a6f-profile_image-300x300.png"">
</a>
",ROSHTEIN,"23,384","283.3
hours","84,977",6.63M,24,+32.1K,1.07M,94.7M
"
<a href=""/lck"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/04b097ac-9a71-409e-b30e-570175b39caf-profile_image-300x300.png"">
</a>
",LCK,"53,260","56.2
hours","307,586",2.99M,25,+30.0K,1.51M,143M
"
<a href=""/juansguarnizo"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-300x300.png"">
</a>
",JUANSGUARNIZO,"35,676","139.7
hours","409,967",4.98M,26,+299K,8.99M,168M
"
<a href=""/hasanabi"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg"">
</a>
",HASANABI,"32,181","167
hours","226,974",5.37M,27,+32.1K,2.17M,114M
"
<a href=""/rubius"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-300x300.jpg"">
</a>
",RUBIUS,"34,680","132.6
hours","372,079",4.60M,28,+190K,12.7M,273M
"
<a href=""/stylishnoob4"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-300x300.png"">
</a>
",STYLISHNOOB4,"16,283","388.7
hours","112,628",6.33M,29,+31.0K,871K,129M
"
<a href=""/rtainjapan"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/rtainjapan-profile_image-056f5f8ac3ad9fae-300x300.png"">
 </a>
",RTAINJAPAN,"40,941","80.5
hours","182,595",3.30M,30,+18.2K,277K,17.9M
"
<a href=""/pgl_dota2"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e9f609aa-ae71-4d3b-806b-4fa875c9e5f6-profile_image-300x300.png"">
</a>
",PGL_DOTA2,"33,186","121.1
hours","161,982",4.02M,31,+31.1K,301K,38.0M
"
<a href=""/cblol"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/6527140f-6280-4b2a-988c-2e995489172b-profile_image-300x300.png"">
</a>
",CBLOL,"44,166","61.7
hours","281,184",2.73M,32,+20.2K,1.49M,233M
"
<a href=""/illojuan"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/79a878d4-9fa0-471a-bc2d-b57373b25ad5-profile_image-300x300.png"">
</a>
",ILLOJUAN,"33,871","114.8
hours","172,186",3.89M,33,+113K,2.49M,72.0M
"
<a href=""/shroud"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-300x300.png"">
</a>
",SHROUD,"25,698","181.2
hours","516,289",4.66M,34,+83.6K,10.3M,571M
"
<a href=""/nickmercs"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/b3c347ed-1a7a-40a2-8bee-8a7c4426eb33-profile_image-300x300.png"">
</a>
",NICKMERCS,"24,133","184
hours","371,232",4.44M,35,+24.1K,6.57M,223M
"
<a href=""/mizkif"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/ddd88d33-6c4f-424f-9246-5f4978c93148-profile_image-300x300.png"">
</a>
",MIZKIF,"32,656","102.2
hours","192,216",3.34M,36,+15.4K,2.10M,103M
"
<a href=""/montanablack88"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/6f36c08a-6f7d-40f1-a9e8-12eee2ff0f93-profile_image-300x300.png"">
</a>
",MONTANABLACK88,"43,375","47.6
hours","194,927",2.06M,37,+48.8K,4.65M,156M
"
<a href=""/casimito"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/32805a78-d927-48bd-8089-bf5efed53ea4-profile_image-300x300.png"">
</a>
",CASIMITO,"27,180","137.2
hours","534,644",3.73M,38,+84.4K,2.74M,37.8M
"
<a href=""/quackitytoo"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e4b8f0d6-91ed-4233-b923-aae2c9269992-profile_image-300x300.png"">
</a>
",QUACKITYTOO,"49,779","17.2
hours","140,697",856K,39,+154K,2.91M,3.51M
"
<a href=""/kato_junichi0817"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-300x300.png"">
</a>
",加藤純一です,"23,068","170.6
hours","241,593",3.93M,40,+13.1K,653K,38.4M
"
<a href=""/otplol_"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/787bd9dd-9367-45ed-a44d-d755427549b8-profile_image-300x300.png"">
</a>
 ",OTPLOL_,"7,864","719.2
hours","204,072",5.66M,41,+8.7K,574K,100.0M
"
<a href=""/lpl"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/8111888b-17e2-43b6-ac5f-10bb3451b130-profile_image-300x300.png"">
</a>
",LPL,"29,239","103.8
hours","149,720",3.03M,42,+28.7K,897K,110M
"
<a href=""/loltyler1"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-300x300.png"">
</a>
",LOLTYLER1,"18,162","219.6
hours","368,484",3.99M,43,+20.2K,5.06M,301M
"
<a href=""/domingo"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/3cdae7df-600c-4833-8dfe-8d2abc5a3b25-profile_image-300x300.png"">
</a>
",DOMINGO,"27,526","104.3
hours","193,354",2.87M,44,+48.7K,1.50M,121M
"
<a href=""/sodapoppin"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-300x300.png"">
</a>
",SODAPOPPIN,"18,880","199.8
hours","110,052",3.77M,45,+9.5K,8.81M,398M
"
<a href=""/elraenn"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/0294fec8-8572-4517-9b60-12e0705a8893-profile_image-300x300.png"">
</a>
",ELRAENN,"26,595","107.6
hours","163,915",2.86M,46,+108K,3.53M,101M
"
<a href=""/valorant_jpn"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/40f51ccf-06c7-48a0-926e-a4fa59d08c68-profile_image-300x300.png"">
</a>
",VALORANT_JPN,"28,084","94.1
hours","113,833",2.64M,47,+21.3K,344K,23.4M
"
<a href=""/brucedropemoff"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/942bca8c-21f3-4e13-a4ef-148dca11ce7e-profile_image-300x300.png"">
</a>
",BRUCEDROPEMOFF,"33,358","60.7
hours","69,077",2.02M,48,+93.6K,963K,7.84M
"
<a href=""/summit1g"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png"">
</a>
",SUMMIT1G,"12,418","354.9
hours","310,998",4.41M,49,+4.1K,6.12M,505M
"
<a href=""/zerator"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/599b546a-c27f-4684-93ff-5eeecd01fb2b-profile_image-300x300.png"">
</a>
",ZERATOR,"24,625","121
hours","707,071",2.98M,50,+37.8K,1.48M,156M
"
<a href=""/handongsuk"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-300x300.png"">
</a>
",한동숙,"17,604","210.5
hours","58,017",3.71M,51,+8.0K,512K,140M
"
<a href=""/luquet4"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/0863a8b0-7fdb-44a9-8212-680cfbaa38f9-profile_image-300x300.png"">
</a>
",LUQUET4,"20,364","163.7
hours","92,525",3.33M,52,+132K,704K,4.45M
"
<a href=""/lvpes"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-300x300.png"">
</a>
",LVPES,"21,999","135.7
hours","232,608",2.98M,53,+15.6K,987K,241M
"
<a href=""/lirik"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/7ddf1f29-544d-4b88-bbed-16e74d836792-profile_image-300x300.png"">
</a>
",LIRIK,"20,053","152.6
hours","89,170",3.06M,54,+1.5K,2.90M,422M
"
<a href=""/betboom_ru"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/8b30d809-483a-476c-a012-3da78cb8e1a5-profile_image-300x300.png"">
</a>
",BETBOOM_RU,"18,680","161.2
hours","93,935",3.01M,55,+37.5K,158K,18.9M
"
<a href=""/rainbow6"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/f24eb74d-cd92-404b-949a-9ac2747df53f-profile_image-300x300.png"">
</a>
",RAINBOW6,"28,170","65.2
hours","191,703",1.84M,56,+19.3K,2.35M,115M
"
<a href=""/aminematue"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/13e55cbe-a1b0-4f4c-b69b-2748274b9e48-profile_image-300x300.png"">
</a>
",AMINEMATUE,"31,556","44.6
hours","137,141",1.41M,57,+60.7K,1.26M,14.9M
"
<a href=""/georgenotfound"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/ff238566-dc40-4849-8f80-8fbbcfaabbc9-profile_image-300x300.png"">
</a>
",GEORGENOTFOUND,"39,509","7.1
hours","387,003",279K,58,+1.7K,4.84M,21.4M
