Nombres Streamers,AVG viewers,Time Streamed (hours),All time peak viewers,Hours watched,Rank,Followers gained,Total followers,Total views
AURONPLAY,132085,111.3,602038,147000000,1,350000,138000000,263000000
ELSPREEN,89107,139,200921,124000000,2,576000,537000000,329000000
XQC,58057,265.2,278176,154000000,3,613000,111000000,525000000
KAICENAT,52631,238.3,132866,125000000,4,276000,202000000,915000000
LEC,62056,122.8,400312,762000000,5,550000,182000000,149000000
IBAI,58857,129,3356074,759000000,6,215000,116000000,359000000
TARIK,45612,185.1,187886,844000000,7,112000,224000000,933000000
ELMARIANA,56550,113.3,128442,641000000,8,413000,547000000,333000000
LCK_KOREA,54855,120.3,623617,660000000,9,223000,137000000,408000000
ADINROSS,59247,94.4,254923,559000000,10,966000,646000000,524000000
VALORANT,37981,205.8,344755,781000000,11,265000,334000000,129000000
LCS,35293,229.4,400429,810000000,12,647000,188000000,167000000
ROCKETLEAGUE,72959,42.9,259144,313000000,13,359000,373000000,312000000
PAULINHOLOKOBR,61134,68.7,149938,420000000,14,240000,101000000,860000
BLASTPREMIER,50770,103.2,270934,524000000,15,531000,137000000,114000000
TRAINWRECKSTV,30606,231.7,82731,709000000,16,393000,207000000,985000000
FPS_SHAKA,23412,319.3,73274,747000000,17,229000,939000,136000000
GAULES,12232,716.1,707648,876000000,18,224000,362000000,405000000
ELIASN97,32929,190.5,189931,627000000,19,527000,118000000,233000000
ESL_DOTA2,55461,65,263970,360000000,20,260000,648000,931000000
LOUD_CORINGA,43830,110.9,307450,486000000,21,759000,347000000,508000000
ESL_CSGO,20391,361.9,562080,738000000,22,407000,556000000,770000000
NIX,45161,94.8,150020,428000000,23,426000,316000,187000000
ROSHTEIN,23384,283.3,84977,663000000,24,321000,107000000,947000000
LCK,53260,56.2,307586,299000000,25,300000,151000000,143000000
JUANSGUARNIZO,35676,139.7,409967,498000000,26,299000,899000000,168000000
HASANABI,32181,167,226974,537000000,27,321000,217000000,114000000
RUBIUS,34680,132.6,372079,460000000,28,190000,127000000,273000000
STYLISHNOOB4,16283,388.7,112628,633000000,29,310000,871000,129000000
RTAINJAPAN,40941,80.5,182595,330000000,30,182000,277000,179000000
PGL_DOTA2,33186,121.1,161982,402000000,31,311000,301000,380000000
CBLOL,44166,61.7,281184,273000000,32,202000,149000000,233000000
ILLOJUAN,33871,114.8,172186,389000000,33,113000,249000000,720000000
SHROUD,25698,181.2,516289,466000000,34,836000,103000000,571000000
NICKMERCS,24133,184,371232,444000000,35,241000,657000000,223000000
MIZKIF,32656,102.2,192216,334000000,36,154000,210000000,103000000
MONTANABLACK88,43375,47.6,194927,206000000,37,488000,465000000,156000000
CASIMITO,27180,137.2,534644,373000000,38,844000,274000000,378000000
QUACKITYTOO,49779,17.2,140697,856000,39,154000,291000000,351000000
加藤純一です,23068,170.6,241593,393000000,40,131000,653000,384000000
OTPLOL_,7864,719.2,204072,566000000,41,87000,574000,1000000000
LPL,29239,103.8,149720,303000000,42,287000,897000,110000000
LOLTYLER1,18162,219.6,368484,399000000,43,202000,506000000,301000000
DOMINGO,27526,104.3,193354,287000000,44,487000,150000000,121000000
SODAPOPPIN,18880,199.8,110052,377000000,45,95000,881000000,398000000
ELRAENN,26595,107.6,163915,286000000,46,108000,353000000,101000000
VALORANT_JPN,28084,94.1,113833,264000000,47,213000,344000,234000000
BRUCEDROPEMOFF,33358,60.7,69077,202000000,48,936000,963000,784000000
SUMMIT1G,12418,354.9,310998,441000000,49,41000,612000000,505000000
ZERATOR,24625,121,707071,298000000,50,378000,148000000,156000000
한동숙,17604,210.5,58017,371000000,51,80000,512000,140000000
LUQUET4,20364,163.7,92525,333000000,52,132000,704000,445000000
LVPES,21999,135.7,232608,298000000,53,156000,987000,241000000
LIRIK,20053,152.6,89170,306000000,54,15000,290000000,422000000
BETBOOM_RU,18680,161.2,93935,301000000,55,375000,158000,189000000
RAINBOW6,28170,65.2,191703,184000000,56,193000,235000000,115000000
AMINEMATUE,31556,44.6,137141,141000000,57,607000,126000000,149000000
GEORGENOTFOUND,39509,7.1,387003,279000,58,17000,484000000,214000000
풍월량,14289,223.3,44351,319000000,59,21000,590000,158000000
NMPLOL,23311,88.6,85653,207000000,60,119000,102000000,547000000
TENZ,24922,75.2,85010,187000000,61,121000,305000000,528000000
WILBURSOOT,39113,5.6,215211,217000,62,190000,460000000,251000000
THEREALKNOSSI,29040,45.8,336065,133000000,63,319000,204000000,687000000
QUIN69,12463,259.7,44153,324000000,64,53000,701000,113000000
CSGO_MC,17963,141.9,364816,255000000,65,117000,115000000,151000000
울프,24075,75.9,105866,183000000,66,98000,428000,290000000
SQUEEZIE,36134,11.4,388941,411000,67,202000,365000000,667000000
CELLBIT,17019,153,151997,260000000,68,363000,244000000,841000000
우왁굳,14432,200.9,44069,290000000,69,103000,880000,863000000
EVELONE192,32620,23.2,153742,756000,70,138000,222000000,991000000
YOURRAGEGAMING,19549,114.3,50469,224000000,71,618000,112000000,112000000
GERARDROMERO,15333,177.8,146872,273000000,72,803000,334000,454000000
ANTOINEDANIEL,20052,103,74618,206000000,73,384000,871000,373000000
KAMET0,16345,149,419458,243000000,74,118000,146000000,108000000
BUSTER,23818,64.1,162925,153000000,75,528000,319000000,114000000
JLTOMY,13138,208.8,261719,274000000,76,144000,109000000,503000000
ALANZOKA,17763,117.7,147051,209000000,77,477000,590000000,206000000
BIYIN_,21939,71,174435,156000000,78,139000,288000000,286000000
WARFRAME,32971,8.1,433736,268000,79,102000,177000000,363000000
MOONMOON,14577,162.1,42066,236000000,80,25000,113000000,995000000
ZACKRAWRR,11131,246.3,40857,274000000,81,535000,892000,218000000
JUST_NS,16065,133.7,114216,215000000,82,102000,536000,555000000
K4SEN,14978,151.1,66627,226000000,83,238000,403000,102000000
GRONKH,19190,90.7,115784,174000000,84,101000,149000000,112000000
