Nombres Streamers,AVG viewers,Time Streamed (hours),All time peak viewers,Hours watched,Rank,Followers gained,Total followers,Total views
AURONPLAY,122101,106.9,602038,131000000,1,,,
XQC,57990,275.7,278176,160000000,2,,,
ELSPREEN,82844,122.4,200921,101000000,3,,,
KAICENAT,52372,239.1,132866,125000000,4,,,
TARIK,51182,174.9,187886,895000000,5,,,
IBAI,60019,117.5,3356074,705000000,6,,,
LEC,67083,90.4,400312,606000000,7,,,
ADINROSS,58075,97.7,254923,568000000,8,,,
PAULINHOLOKOBR,62542,78.1,149938,489000000,9,,,
VALORANT,37637,211.1,344755,794000000,10,,,
ELMARIANA,53010,109.8,128442,582000000,11,,,
BLASTPREMIER,55866,93.1,270934,520000000,12,,,
LCK_KOREA,43537,140.3,623617,611000000,13,,,
ESL_CSGO,20836,423.8,562080,883000000,14,,,
LCS,34958,196.8,400429,688000000,15,,,
TRAINWRECKSTV,30482,233.2,82731,711000000,16,,,
FPS_SHAKA,22699,349,73274,792000000,17,,,
ESL_DOTA2,55461,65,263970,360000000,18,,,
GAULES,12251,716.1,707648,877000000,19,,,
ELIASN97,32725,175,189931,573000000,20,,,
LCK,56498,43.7,307586,247000000,21,,,
LOUD_CORINGA,41032,106.9,307450,439000000,22,,,
RUBIUS,35771,132,372079,472000000,23,,,
STYLISHNOOB4,16367,435.8,112628,713000000,24,,,
HASANABI,31423,157,226974,493000000,25,,,
ROSHTEIN,23515,243.5,84977,573000000,26,,,
JUANSGUARNIZO,32602,136.8,409967,446000000,27,,,
ILLOJUAN,32849,123.6,172186,406000000,28,,,
CBLOL,47519,43.6,281184,207000000,29,,,
NIX,33781,101.2,150020,342000000,30,,,
QUACKITYTOO,52022,18.2,140697,949000,31,,,
MONTANABLACK88,44562,43.1,194927,192000000,32,,,
NICKMERCS,25708,170.5,371232,438000000,33,,,
CASIMITO,26139,154.2,534644,403000000,34,,,
SHROUD,24383,164.2,516289,400000000,35,,,
MIZKIF,30050,102.8,192216,309000000,36,,,
DOMINGO,30174,100,193354,302000000,37,,,
한동숙,17690,258.5,58017,457000000,38,,,
BRUCEDROPEMOFF,35148,57.6,69077,202000000,39,,,
ZERATOR,28603,97.8,707071,280000000,40,,,
加藤純一です,22650,156.7,241593,355000000,41,,,
LUQUET4,20969,175.5,92525,368000000,42,,,
SODAPOPPIN,19260,199.2,110052,384000000,43,,,
VALORANT_JPN,27221,98.3,113833,267000000,44,,,
OTPLOL_,7300,719.1,204072,525000000,45,,,
LOLTYLER1,17965,211.4,368484,380000000,46,,,
SUMMIT1G,12231,355,310998,434000000,47,,,
AMINEMATUE,32600,47.6,137141,155000000,48,,,
ELRAENN,26121,85.2,163915,223000000,49,,,
LPL,21464,131.7,149720,283000000,50,,,
SQUEEZIE,38270,15.9,388941,608000,51,,,
LIRIK,19893,146.9,89170,292000000,52,,,
GEORGENOTFOUND,39509,7.1,387003,279000,53,,,
THEREALKNOSSI,32370,36.9,336065,119000000,54,,,
PGL_DOTA2,19886,141.3,161982,281000000,55,,,
WILBURSOOT,39113,5.6,215211,217000,56,,,
BUSTER,26331,70.6,162925,186000000,57,,,
TENZ,24073,89,85010,214000000,58,,,
LVPES,20416,127.7,232608,261000000,59,,,
RAINBOW6,25610,74.9,191703,192000000,60,,,
풍월량,14521,227.3,44351,330000000,61,,,
CSGO_MC,17498,161.8,364816,283000000,62,,,
EVELONE192,32620,23.2,153742,756000,63,,,
PGL_DOTA2EN2,18373,141.7,83217,260000000,64,,,
QUIN69,12500,265,44153,331000000,65,,,
ANTOINEDANIEL,20287,107.2,74618,218000000,66,,,
우왁굳,14103,210,44069,296000000,67,,,
NMPLOL,21668,88.9,85653,193000000,68,,,
JLTOMY,13056,228.8,261719,299000000,69,,,
ALANZOKA,17621,135.6,147051,239000000,70,,,
GERARDROMERO,15099,177.1,146872,267000000,71,,,
울프,24226,60.5,105866,146000000,72,,,
YOURRAGEGAMING,19269,108.7,50469,209000000,73,,,
BETBOOM_RU,14574,183.8,93935,268000000,74,,,
KAMET0,15976,151.9,419458,243000000,75,,,
TSM_IMPERIALHAL,16915,134.5,108815,228000000,76,,,
ZACKRAWRR,11410,259.4,40857,296000000,77,,,
ELXOKAS,10562,286,1208144,302000000,78,,,
AUSTINSHOW,30645,11.8,186197,361000,79,,,
