Nombre Streamer,Month Year,Total Subs,Subs Type Prime,Subs Type Tier 1($4.99),Subs Type Tier 2($9.99),Subs Type Tier 3($24.99),Subs Type Unlisted
AURONPLAY,September 2022,25928,10835,11317,31,14,3731
AURONPLAY,August 2022,50796,21472,21601,58,25,7640
AURONPLAY,July 2022,17099,7415,7073,21,12,2578
AURONPLAY,June 2022,39439,16536,17176,44,22,5661
AURONPLAY,May 2022,31377,13536,12829,41,19,4952
AURONPLAY,April 2022,38241,17232,14952,53,27,5977
AURONPLAY,March 2022,33396,14872,13482,48,25,4969
AURONPLAY,February 2022,28982,12565,11976,42,19,4380
AURONPLAY,January 2022,41660,17698,17793,61,41,6067
AURONPLAY,December 2021,23457,9478,10498,46,46,3389
AURONPLAY,November 2021,37331,13726,18616,58,45,4886
AURONPLAY,October 2021,37567,16159,17213,84,50,4061
AURONPLAY,September 2021,39472,15705,19864,85,47,3771
AURONPLAY,August 2021,40751,18680,17529,64,41,4437
AURONPLAY,July 2021,20598,9751,8730,48,37,2032
AURONPLAY,June 2021,27660,12120,12620,52,41,2827
AURONPLAY,May 2021,29254,13061,13441,150,44,2558
AURONPLAY,April 2021,30395,15180,12321,53,24,2817
AURONPLAY,March 2021,29261,13589,13018,77,39,2538
AURONPLAY,February 2021,23233,12381,8363,54,29,2406
AURONPLAY,January 2021,32033,18000,10696,55,33,3249
AURONPLAY,December 2020,22076,12695,6936,58,23,2364
AURONPLAY,November 2020,23625,12974,8004,215,20,2412
AURONPLAY,October 2020,20940,12088,6531,36,15,2270
AURONPLAY,September 2020,17768,11538,4324,28,10,1868
AURONPLAY,August 2020,16296,10603,3904,27,8,1754
AURONPLAY,July 2020,13844,9625,2654,15,4,1546
AURONPLAY,June 2020,14934,10743,3421,14,4,752
AURONPLAY,May 2020,18928,14176,3716,19,15,1002
AURONPLAY,April 2020,15239,11352,3005,14,12,856
AURONPLAY,March 2020,10022,7255,2269,20,6,472
AURONPLAY,February 2020,9961,7169,2340,16,6,430
AURONPLAY,January 2020,10285,8248,1485,16,12,524
AURONPLAY,December 2019,7749,6479,882,10,0,378
AURONPLAY,November 2019,4358,3212,975,4,0,167
XQC,September 2022,46406,19149,13059,58,55,14085
XQC,August 2022,79704,31232,19156,91,161,29064
XQC,July 2022,82051,34694,23544,112,87,23614
XQC,June 2022,84713,34231,23081,122,88,27191
XQC,May 2022,94120,38263,25592,130,103,30032
XQC,April 2022,98230,44842,27471,153,117,25647
XQC,March 2022,84412,36654,25448,157,107,22046
XQC,February 2022,83719,33032,23789,142,88,26668
XQC,January 2022,88296,38059,26956,157,107,23017
XQC,December 2021,95699,43471,30383,191,150,21504
XQC,November 2021,84012,37007,26034,304,153,20514
XQC,October 2021,78294,32701,22934,92,93,22474
XQC,September 2021,71375,28251,21907,112,80,21025
XQC,August 2021,79207,36162,24122,138,82,18703
XQC,July 2021,63108,27617,17976,123,116,17276
XQC,June 2021,76898,34596,24124,137,112,17929
XQC,May 2021,80674,39348,22629,164,107,18426
XQC,April 2021,76046,39726,25280,165,140,10735
XQC,March 2021,67546,35450,22950,151,125,8870
XQC,February 2021,55512,28468,16883,134,85,9942
XQC,January 2021,58683,33906,17292,138,103,7244
XQC,December 2020,63372,34691,20533,146,103,7899
XQC,November 2020,52747,28723,16963,130,87,6844
XQC,October 2020,55767,30646,18398,145,79,6499
XQC,September 2020,51248,26428,16280,121,98,8321
XQC,August 2020,42114,22607,11859,128,68,7452
XQC,July 2020,49445,24166,17282,81,67,7849
XQC,June 2020,40009,19498,13914,71,52,6474
XQC,May 2020,41355,20331,14296,74,41,6613
XQC,April 2020,54762,31057,14173,90,51,9391
XQC,March 2020,36163,19349,10488,73,35,6218
XQC,February 2020,34598,17442,11469,48,34,5605
XQC,January 2020,35141,19266,9620,71,45,6139
XQC,December 2019,39021,20904,11441,68,51,6557
XQC,November 2019,33809,18076,9813,57,48,5815
XQC,October 2019,31797,16057,10337,56,53,5294
XQC,September 2019,33869,15726,12624,56,46,5417
XQC,August 2019,27531,18423,8246,57,53,752
XQC,July 2019,26162,16244,9118,73,43,684
XQC,June 2019,24114,15935,7334,72,48,725
XQC,May 2019,22559,15248,6497,75,54,685
XQC,April 2019,20366,13623,6032,67,35,609
XQC,March 2019,21711,14590,6351,76,46,648
XQC,February 2019,27107,18179,7888,127,68,845
XQC,January 2019,21279,10887,7583,83,54,2672
XQC,December 2018,19450,9854,7063,75,49,2409
XQC,November 2018,16993,9289,5344,69,44,2247
XQC,October 2018,16216,8944,4986,73,39,2174
XQC,September 2018,16600,8845,5920,93,56,1686
XQC,August 2018,15891,8897,4738,67,55,2134
XQC,July 2018,13023,8112,2825,63,52,1971
XQC,June 2018,8542,4999,2147,56,48,1292
XQC,May 2018,8871,4743,2689,62,34,1343
XQC,April 2018,9104,4955,2689,56,38,1366
XQC,March 2018,11867,7215,2731,85,58,1775
XQC,February 2018,7439,4277,1949,59,51,1103
XQC,January 2018,7475,4115,2137,69,48,1106
XQC,December 2017,6215,3280,1937,50,44,904
XQC,November 2017,4939,2764,1362,40,48,725
XQC,October 2017,4070,2164,1223,37,36,610
XQC,September 2017,3503,1591,1304,41,44,523
XQC,August 2017,1909,985,611,21,15,277
XQC,July 2017,1552,787,509,15,15,226
XQC,June 2017,956,422,386,5,8,135
XQC,May 2017,559,254,229,2,1,73
XQC,April 2017,515,244,205,0,0,66
XQC,March 2017,189,86,78,0,0,25
ELSPREEN,September 2022,11751,3934,6048,60,36,1673
ELSPREEN,August 2022,26772,11657,11124,79,53,3859
ELSPREEN,July 2022,12898,5066,5820,54,30,1928
ELSPREEN,June 2022,5933,2084,2915,33,18,883
ELSPREEN,May 2022,5920,2053,2903,43,27,894
ELSPREEN,April 2022,7627,2759,3701,45,24,1098
ELSPREEN,March 2022,8325,3002,4071,42,21,1189
ELSPREEN,February 2022,6998,2639,3303,33,10,1013
ELSPREEN,January 2022,8406,2870,4537,32,12,955
ELSPREEN,December 2021,2990,992,1647,15,5,331
ELSPREEN,November 2021,1995,753,962,6,2,272
ELSPREEN,October 2021,4183,1313,2581,11,5,273
ELSPREEN,September 2021,2109,1050,827,8,8,216
ELSPREEN,August 2021,2709,1540,846,10,5,308
ELSPREEN,July 2021,1199,686,387,3,2,121
KAICENAT,September 2022,43981,7817,31925,22,3,4214
KAICENAT,August 2022,64603,11147,43910,16,8,9522
KAICENAT,July 2022,29947,5554,20102,10,46,4235
KAICENAT,June 2022,7088,1227,4898,3,1,959
KAICENAT,May 2022,12164,2493,8075,7,2,1587
KAICENAT,April 2022,13286,2099,9548,8,0,1631
KAICENAT,March 2022,1278,225,890,1,0,162
KAICENAT,February 2022,8480,1820,5477,9,21,1153
KAICENAT,January 2022,13090,2449,8983,4,2,1652
KAICENAT,December 2021,9513,2252,5941,7,1,1312
KAICENAT,November 2021,6645,1416,4394,6,0,829
TARIK,September 2022,12998,6972,4034,15,29,1948
TARIK,August 2022,19786,10475,6369,22,25,2895
TARIK,July 2022,18120,10004,5454,19,25,2618
TARIK,June 2022,15340,7848,5161,22,27,2282
TARIK,May 2022,15482,8210,4993,15,30,2234
TARIK,April 2022,17543,9240,5800,17,36,2450
TARIK,March 2022,19336,9603,7087,16,27,2603
TARIK,February 2022,12756,5787,5428,15,24,1502
TARIK,January 2022,12456,4119,7056,17,17,1247
TARIK,December 2021,11692,4552,5814,60,14,1252
TARIK,November 2021,6094,1655,3962,8,7,462
IBAI,September 2022,18004,7723,3938,8,5,6330
IBAI,August 2022,33212,13980,7376,9,8,11839
IBAI,July 2022,38211,16140,8780,10,2,13279
IBAI,June 2022,120184,46881,29188,18,12,44085
IBAI,May 2022,41588,19663,6986,13,3,14923
IBAI,April 2022,41746,18937,8193,13,7,14596
IBAI,March 2022,44886,21671,6617,13,5,16580
IBAI,February 2022,42895,20039,7093,12,4,15747
IBAI,January 2022,47680,22203,8073,16,6,17382
IBAI,December 2021,64750,30163,11269,18,5,23295
IBAI,November 2021,43109,20721,6643,20,5,15720
IBAI,October 2021,41616,19441,7422,15,8,14730
IBAI,September 2021,46467,19677,10163,33,26,16568
IBAI,August 2021,69339,33560,10763,22,7,24987
IBAI,July 2021,28348,14845,2993,13,7,10490
IBAI,June 2021,43124,19477,10173,22,5,13447
IBAI,May 2021,33045,23533,5144,28,5,4335
IBAI,April 2021,27147,20118,3364,33,8,3624
IBAI,March 2021,28719,21518,3689,30,6,3476
IBAI,February 2021,29360,21944,3865,30,11,3510
IBAI,January 2021,34843,26104,4453,31,11,4244
IBAI,December 2020,47363,35585,6182,38,12,5546
IBAI,November 2020,44392,33092,6012,32,10,5246
IBAI,October 2020,37030,28254,4373,26,5,4372
IBAI,September 2020,29904,22253,4116,26,3,3506
IBAI,August 2020,18324,14032,2064,23,0,2205
IBAI,July 2020,11628,8695,1519,16,2,1396
IBAI,June 2020,16311,12036,2404,40,1,1830
IBAI,May 2020,5361,4028,659,4,1,669
ADINROSS,September 2022,22708,9453,4041,5,2,9207
ADINROSS,August 2022,35418,20679,6970,10,3,7756
ADINROSS,July 2022,34621,12275,8217,8,6,14115
ADINROSS,June 2022,45339,5588,8298,8,9,31436
ADINROSS,April 2022,20454,2414,4775,9,8,13248
ADINROSS,March 2022,29917,4867,7882,14,12,17142
ADINROSS,February 2022,37936,5561,8780,26,10,23559
ADINROSS,January 2022,24785,5829,9538,20,16,9382
ADINROSS,December 2021,47009,8910,12138,21,17,25923
ADINROSS,November 2021,21009,5719,6944,14,11,8321
ADINROSS,October 2021,24755,5581,8795,19,12,10348
ADINROSS,September 2021,61888,17164,31726,49,22,12927
ADINROSS,August 2021,37436,12720,15580,49,16,9071
ADINROSS,July 2021,36609,12212,14392,64,33,9908
ADINROSS,June 2021,43508,16500,20541,84,58,6325
ADINROSS,May 2021,61833,21592,23786,144,35,16276
ADINROSS,April 2021,50036,18181,27290,96,46,4423
ADINROSS,March 2021,14718,4622,8630,30,18,1418
ELMARIANA,September 2022,7175,2820,3338,3,4,1010
ELMARIANA,August 2022,17928,7822,7450,8,9,2639
ELMARIANA,July 2022,16765,7740,6401,6,8,2610
ELMARIANA,June 2022,11440,4760,4861,10,6,1803
ELMARIANA,May 2022,10351,4426,4316,7,7,1595
ELMARIANA,April 2022,14613,6176,6176,9,7,2245
ELMARIANA,March 2022,15883,6857,6520,11,6,2489
ELMARIANA,February 2022,11019,4633,4704,5,3,1674
ELMARIANA,January 2022,12737,5522,5361,9,2,1843
ELMARIANA,December 2021,9545,3910,4270,10,6,1349
ELMARIANA,November 2021,8415,3661,3463,29,32,1230
ELMARIANA,October 2021,11169,4945,5003,9,7,1205
ELMARIANA,September 2021,10966,5252,4532,5,6,1171
ELMARIANA,August 2021,13363,6320,5450,7,9,1577
ELMARIANA,July 2021,11556,5273,5016,8,8,1251
ESL_CSGO,September 2022,706,434,182,0,1,89
ESL_CSGO,August 2022,122,67,42,0,0,13
ESL_CSGO,July 2022,925,577,220,0,0,128
ESL_CSGO,June 2022,381,156,195,0,0,30
ESL_CSGO,May 2022,240,137,81,2,0,20
ESL_CSGO,April 2022,615,312,241,0,0,62
ESL_CSGO,March 2022,1000,565,309,0,0,126
ESL_CSGO,February 2022,1126,620,351,1,0,154
ESL_CSGO,January 2022,13,7,6,0,0,0
ESL_CSGO,December 2021,332,166,137,0,0,29
ESL_CSGO,November 2021,65,34,31,0,0,0
ESL_CSGO,October 2021,1166,41,334,1,0,790
ESL_CSGO,September 2021,1139,0,1134,1,1,3
ESL_CSGO,August 2021,1059,0,855,1,0,203
ESL_CSGO,July 2021,1347,0,1231,1,0,115
ESL_CSGO,June 2021,691,0,538,0,0,153
ESL_CSGO,May 2021,673,0,582,2,0,89
ESL_CSGO,April 2021,792,0,722,2,0,68
ESL_CSGO,March 2021,991,0,953,0,0,38
ESL_CSGO,February 2021,1112,0,693,0,0,419
TRAINWRECKSTV,September 2022,15303,2100,7023,18,16,6146
TRAINWRECKSTV,August 2022,36321,9785,20087,53,371,6025
TRAINWRECKSTV,July 2022,19270,5169,10558,29,126,3388
TRAINWRECKSTV,June 2022,26733,7117,15127,34,48,4407
TRAINWRECKSTV,May 2022,31133,8526,17305,39,67,5196
TRAINWRECKSTV,April 2022,22768,6054,12749,36,50,3879
TRAINWRECKSTV,March 2022,42249,10644,24757,60,65,6723
TRAINWRECKSTV,February 2022,43711,10201,26891,40,87,6492
TRAINWRECKSTV,January 2022,55647,13416,36406,125,71,5629
TRAINWRECKSTV,December 2021,27644,6227,17920,160,90,3247
TRAINWRECKSTV,November 2021,16535,3580,10669,27,268,1991
TRAINWRECKSTV,October 2021,26867,5721,17619,39,85,3403
TRAINWRECKSTV,September 2021,28574,6097,18162,35,41,4239
TRAINWRECKSTV,August 2021,24713,6881,14340,35,36,3421
TRAINWRECKSTV,July 2021,23907,6063,14617,73,39,3115
TRAINWRECKSTV,June 2021,15650,4592,7883,14,23,3138
TRAINWRECKSTV,May 2021,16567,4462,7931,15,22,4137
TRAINWRECKSTV,April 2021,8828,1269,6000,14,15,1530
TRAINWRECKSTV,March 2021,10171,1295,7064,20,12,1780
TRAINWRECKSTV,February 2021,5459,880,3385,9,11,1174
TRAINWRECKSTV,January 2021,10588,1726,6598,15,18,2231
TRAINWRECKSTV,December 2020,11397,2196,6582,21,22,2576
TRAINWRECKSTV,November 2020,24552,5042,13543,20,20,5927
TRAINWRECKSTV,October 2020,13139,2577,7745,21,45,2751
TRAINWRECKSTV,September 2020,13305,2371,8381,23,27,2503
TRAINWRECKSTV,August 2020,10498,1315,7651,8,38,1486
TRAINWRECKSTV,July 2020,10880,1334,7980,22,76,1468
TRAINWRECKSTV,June 2020,10678,1082,7638,33,23,1902
TRAINWRECKSTV,May 2020,14297,1863,12141,22,69,202
TRAINWRECKSTV,April 2020,10690,1651,8750,14,102,173
TRAINWRECKSTV,March 2020,14854,2323,12273,19,16,223
TRAINWRECKSTV,February 2020,10820,2262,8305,18,24,211
TRAINWRECKSTV,January 2020,11489,2861,8314,17,30,267
TRAINWRECKSTV,December 2019,13000,2886,9778,34,27,275
TRAINWRECKSTV,November 2019,9577,1820,7533,14,25,185
TRAINWRECKSTV,October 2019,9738,1844,7655,32,32,175
TRAINWRECKSTV,September 2019,7570,1370,6058,19,24,99
TRAINWRECKSTV,August 2019,7323,1538,5700,24,22,39
TRAINWRECKSTV,July 2019,7395,1538,5763,24,19,51
TRAINWRECKSTV,June 2019,8082,1731,6252,23,14,62
TRAINWRECKSTV,May 2019,7300,2109,5075,22,28,66
TRAINWRECKSTV,April 2019,4054,1235,2742,17,14,46
TRAINWRECKSTV,March 2019,3749,1218,2414,19,22,76
TRAINWRECKSTV,February 2019,3421,1177,2134,14,18,78
TRAINWRECKSTV,January 2019,2455,562,1680,6,9,198
TRAINWRECKSTV,December 2018,4093,639,3212,9,14,219
TRAINWRECKSTV,November 2018,2597,590,1784,8,14,201
TRAINWRECKSTV,October 2018,1436,300,959,10,14,153
TRAINWRECKSTV,September 2018,4099,569,3299,12,22,197
TRAINWRECKSTV,August 2018,3145,763,2101,19,23,239
TRAINWRECKSTV,July 2018,1464,674,542,14,20,214
TRAINWRECKSTV,June 2018,1435,684,523,6,16,206
TRAINWRECKSTV,May 2018,1385,580,582,11,12,200
TRAINWRECKSTV,April 2018,684,238,337,5,8,96
TRAINWRECKSTV,March 2018,1354,563,585,13,8,185
TRAINWRECKSTV,February 2018,1424,545,678,11,10,180
TRAINWRECKSTV,January 2018,1091,323,631,10,10,117
TRAINWRECKSTV,December 2017,1749,450,1123,11,12,153
TRAINWRECKSTV,November 2017,1383,574,609,5,17,178
TRAINWRECKSTV,October 2017,614,201,320,2,8,83
TRAINWRECKSTV,September 2017,77,15,53,0,1,8
TRAINWRECKSTV,August 2017,109,33,69,0,0,7
TRAINWRECKSTV,July 2017,138,41,85,0,0,12
TRAINWRECKSTV,June 2017,205,85,95,2,1,22
TRAINWRECKSTV,May 2017,134,58,66,0,0,10
TRAINWRECKSTV,April 2017,52,26,22,0,0,4
TRAINWRECKSTV,March 2017,22,11,11,0,0,0
TRAINWRECKSTV,February 2017,8,4,4,0,0,0
TRAINWRECKSTV,January 2017,90,37,48,0,0,5
TRAINWRECKSTV,December 2016,94,42,48,0,0,4
TRAINWRECKSTV,November 2016,93,29,57,0,0,7
TRAINWRECKSTV,October 2016,143,61,69,0,0,13
TRAINWRECKSTV,September 2016,45,0,44,0,0,1
FPS_SHAKA,September 2022,7247,3099,1304,7,3,2834
FPS_SHAKA,August 2022,9947,4292,1705,5,9,3936
FPS_SHAKA,July 2022,11513,4776,2395,11,10,4321
FPS_SHAKA,June 2022,11462,4846,2178,12,9,4417
FPS_SHAKA,May 2022,9132,3853,1727,10,12,3530
FPS_SHAKA,April 2022,10278,4383,1910,8,7,3970
FPS_SHAKA,March 2022,11721,4935,2214,9,14,4549
FPS_SHAKA,February 2022,9103,3567,2190,10,15,3321
FPS_SHAKA,January 2022,9766,3928,2204,8,9,3617
FPS_SHAKA,December 2021,11909,4615,3012,16,14,4252
FPS_SHAKA,November 2021,7509,3250,1296,5,6,2952
FPS_SHAKA,October 2021,10790,4326,2583,9,12,3860
FPS_SHAKA,September 2021,11010,4125,3193,20,16,3656
FPS_SHAKA,August 2021,10234,4413,1899,13,13,3896
FPS_SHAKA,July 2021,10500,4301,2376,14,13,3796
FPS_SHAKA,June 2021,11222,5015,1717,13,18,4459
FPS_SHAKA,May 2021,9189,4233,1321,14,12,3609
FPS_SHAKA,April 2021,11171,4764,2204,19,22,4162
FPS_SHAKA,March 2021,13436,5741,2722,25,28,4920
FPS_SHAKA,February 2021,12258,5331,2139,19,19,4750
FPS_SHAKA,January 2021,13183,5851,2394,13,17,4908
ESL_DOTA2,August 2022,158,0,0,0,158,0
ESL_DOTA2,July 2022,92,0,0,0,92,0
ESL_DOTA2,June 2022,120,0,0,0,120,0
ESL_DOTA2,October 2021,16,0,0,0,16,0
ESL_DOTA2,September 2021,21,21,0,0,0,0
ESL_DOTA2,August 2021,124,124,0,0,0,3
ESL_DOTA2,July 2021,7,7,0,0,0,0
ESL_DOTA2,June 2021,80,80,0,0,0,1
ESL_DOTA2,May 2021,43,43,0,0,0,2
ESL_DOTA2,April 2021,52,49,0,0,3,0
ESL_DOTA2,March 2021,6,0,0,0,6,0
GAULES,September 2022,20094,12297,4675,11,8,3103
GAULES,August 2022,43436,21944,7633,12,8,13839
GAULES,July 2022,43836,21994,6171,12,9,15650
GAULES,June 2022,57077,28899,8197,15,9,19957
GAULES,May 2022,101039,60506,20516,17,12,19988
GAULES,April 2022,57866,16589,28633,19,7,12618
GAULES,March 2022,58753,0,50648,23,13,8069
GAULES,February 2022,51797,0,37074,24,14,14685
GAULES,January 2022,43297,0,40195,28,14,3060
GAULES,December 2021,52725,0,49017,27,18,3663
GAULES,November 2021,63096,0,31280,24,16,31776
GAULES,October 2021,59109,0,37763,17,9,21320
GAULES,September 2021,53916,0,36708,28,13,17167
GAULES,August 2021,47095,0,32033,20,11,15031
GAULES,July 2021,52777,0,35728,19,10,17020
GAULES,June 2021,37021,0,28305,14,4,8698
GAULES,May 2021,32358,0,25207,15,8,7128
GAULES,April 2021,35436,0,24751,15,1,10669
GAULES,March 2021,39202,0,25117,9,47,14029
GAULES,February 2021,27393,0,16303,13,2,11075
GAULES,January 2021,33382,0,18850,11,4,14517
GAULES,December 2020,30684,0,22214,10,5,8455
GAULES,November 2020,33670,0,19627,10,3,14030
GAULES,October 2020,25172,0,25148,19,5,0
GAULES,September 2020,25327,0,25303,17,7,0
GAULES,August 2020,25633,0,25614,13,6,0
GAULES,July 2020,22300,0,22286,12,2,0
GAULES,June 2020,19008,0,19007,1,0,0
GAULES,May 2020,19182,0,19182,0,0,0
GAULES,April 2020,11772,0,11762,7,3,0
GAULES,March 2020,14168,0,14152,10,6,0
GAULES,February 2020,9097,0,9082,12,3,0
GAULES,January 2020,7226,0,7214,9,3,0
GAULES,December 2019,7447,0,7434,10,3,0
GAULES,November 2019,7246,0,7231,11,4,0
GAULES,October 2019,8396,0,8379,12,5,0
GAULES,September 2019,5460,0,5447,11,2,0
ELIASN97,September 2022,22566,12226,7028,21,8,3283
ELIASN97,August 2022,41728,22362,12999,32,18,6317
ELIASN97,July 2022,35539,19677,10679,29,17,5137
ELIASN97,June 2022,38365,21167,11801,26,12,5359
ELIASN97,May 2022,33587,18251,10321,31,14,4970
ELIASN97,April 2022,27353,14960,8394,21,15,3963
ELIASN97,March 2022,29868,16439,8783,22,15,4609
ELIASN97,February 2022,26465,13730,9063,18,12,3642
ELIASN97,January 2022,29700,15375,9879,22,16,4408
ELIASN97,December 2021,19383,10877,5560,18,12,2916
ELIASN97,November 2021,15367,8507,4778,7,7,2068
ELIASN97,October 2021,15681,9111,4837,16,7,1710
ELIASN97,September 2021,22068,11273,8621,29,10,2135
ELIASN97,August 2021,13164,7341,4415,10,6,1392
ELIASN97,July 2021,7976,4754,2277,10,6,929
ELIASN97,June 2021,8837,5299,2518,9,4,1007
ELIASN97,May 2021,8547,5045,2615,13,5,869
ELIASN97,April 2021,10469,6045,3221,16,4,1183
ELIASN97,March 2021,13820,7749,4674,29,6,1362
ELIASN97,February 2021,11654,6035,4288,17,4,1310
ELIASN97,January 2021,7668,4202,2641,5,2,818
LOUD_CORINGA,September 2022,15297,5004,7936,6,4,2347
LOUD_CORINGA,August 2022,18409,7022,8676,5,2,2704
LOUD_CORINGA,July 2022,25596,9762,12234,4,2,3594
LOUD_CORINGA,June 2022,17565,6985,7843,7,3,2727
LOUD_CORINGA,May 2022,19679,7749,8896,5,3,3026
LOUD_CORINGA,April 2022,21278,8396,9593,6,0,3283
LOUD_CORINGA,March 2022,19775,7831,8900,13,3,3028
LOUD_CORINGA,February 2022,17653,6652,8439,9,2,2551
LOUD_CORINGA,January 2022,20398,8017,9035,8,4,3334
LOUD_CORINGA,December 2021,19255,5789,10957,13,2,2494
LOUD_CORINGA,November 2021,20580,6708,10950,11,4,2907
LOUD_CORINGA,October 2021,10854,5712,3814,14,4,1310
LOUD_CORINGA,September 2021,9634,5078,3482,10,1,1063
LOUD_CORINGA,August 2021,9833,5198,3489,6,4,1136
LOUD_CORINGA,July 2021,7410,5139,1418,4,2,847
LOUD_CORINGA,June 2021,3952,3065,447,2,1,437
LOUD_CORINGA,May 2021,3280,2576,334,0,1,369
LOUD_CORINGA,April 2021,2720,2139,270,0,2,309
LOUD_CORINGA,March 2021,2370,1848,224,0,1,297
LOUD_CORINGA,February 2021,2120,1650,227,0,0,243
LOUD_CORINGA,January 2021,1845,1385,254,0,0,206
LOUD_CORINGA,December 2020,882,669,114,0,0,99
RUBIUS,September 2022,12333,6289,4206,7,17,1814
RUBIUS,August 2022,21085,11773,5813,12,31,3456
RUBIUS,July 2022,29837,18411,6915,8,27,4476
RUBIUS,June 2022,16330,9322,4327,10,23,2648
RUBIUS,May 2022,17767,9711,5225,11,39,2781
RUBIUS,April 2022,17546,9899,4877,10,24,2736
RUBIUS,March 2022,36333,12795,20941,17,30,2550
RUBIUS,February 2022,34347,14507,17348,38,30,2424
RUBIUS,January 2022,25594,14004,7758,13,38,3781
RUBIUS,December 2021,19451,10331,6014,17,29,3060
RUBIUS,November 2021,17014,9287,5312,16,32,2367
RUBIUS,October 2021,17265,8460,6821,121,88,1775
RUBIUS,September 2021,17822,7829,8274,24,38,1657
RUBIUS,August 2021,10446,5311,4068,11,24,1032
RUBIUS,July 2021,17522,9156,6663,21,33,1649
RUBIUS,June 2021,15545,8570,5381,22,23,1549
RUBIUS,May 2021,15471,8995,4771,25,17,1663
RUBIUS,April 2021,14607,9203,3828,14,12,1550
RUBIUS,March 2021,15758,9925,4120,16,15,1682
RUBIUS,February 2021,17263,10614,4780,16,13,1840
RUBIUS,January 2021,11576,7486,2754,14,11,1311
RUBIUS,December 2020,15961,10527,3584,17,20,1813
RUBIUS,November 2020,17137,10377,4985,28,19,1728
RUBIUS,October 2020,16161,7947,6517,24,6,1667
RUBIUS,September 2020,16327,10159,4430,41,9,1688
RUBIUS,August 2020,12869,7791,3924,23,4,1127
RUBIUS,July 2020,12202,7337,3914,24,11,916
RUBIUS,June 2020,11283,6812,3914,18,7,532
RUBIUS,May 2020,13691,8633,4393,26,11,628
RUBIUS,April 2020,13978,9394,3860,32,42,650
RUBIUS,March 2020,13692,9068,3806,38,90,690
RUBIUS,February 2020,11746,6939,4224,30,36,517
RUBIUS,January 2020,11208,7736,2853,42,36,541
RUBIUS,December 2019,9130,5952,2757,24,24,373
RUBIUS,November 2019,10706,6277,3929,40,48,412
RUBIUS,October 2019,11014,7308,3142,36,54,474
RUBIUS,September 2019,6724,4021,2346,32,24,301
RUBIUS,August 2019,5441,4022,1235,20,30,134
RUBIUS,July 2019,5553,3998,1386,16,18,135
RUBIUS,June 2019,4637,3609,855,28,36,109
RUBIUS,May 2019,5234,3920,1124,28,36,126
RUBIUS,April 2019,5374,4025,1151,26,18,154
RUBIUS,March 2019,5710,3905,1587,12,48,158
RUBIUS,February 2019,6700,5745,663,46,30,216
RUBIUS,January 2019,6398,4573,912,12,18,883
RUBIUS,December 2018,3309,2121,753,12,0,423
STYLISHNOOB4,September 2022,4793,2926,1109,1,5,752
STYLISHNOOB4,August 2022,6680,3315,2396,4,5,960
STYLISHNOOB4,July 2022,322,271,49,1,1,0
STYLISHNOOB4,June 2022,3787,2126,1105,3,3,550
STYLISHNOOB4,May 2022,4795,2662,1410,0,3,720
STYLISHNOOB4,April 2022,7694,4155,2441,1,6,1091
STYLISHNOOB4,March 2022,6529,3614,2012,3,4,896
STYLISHNOOB4,February 2022,5189,2848,1581,4,6,750
STYLISHNOOB4,January 2022,6818,3354,2628,5,7,824
STYLISHNOOB4,December 2021,8313,4515,2677,6,7,1108
STYLISHNOOB4,November 2021,6171,3370,2027,3,5,766
STYLISHNOOB4,October 2021,6411,3853,1882,3,5,668
STYLISHNOOB4,September 2021,7152,3846,2634,4,4,664
STYLISHNOOB4,August 2021,6294,3608,1970,4,5,707
STYLISHNOOB4,July 2021,7974,4287,2972,7,9,699
STYLISHNOOB4,June 2021,6257,3629,1982,8,4,634
STYLISHNOOB4,May 2021,6743,3644,2525,2,6,566
STYLISHNOOB4,April 2021,6966,3816,2408,7,9,726
STYLISHNOOB4,March 2021,9361,4336,4291,25,8,701
STYLISHNOOB4,February 2021,5361,2835,1985,6,8,527
STYLISHNOOB4,January 2021,7453,3939,2798,9,16,691
STYLISHNOOB4,December 2020,7492,3926,2948,7,5,606
HASANABI,September 2022,27040,7112,7576,31,24,12297
HASANABI,August 2022,59045,15865,17005,79,59,26037
HASANABI,July 2022,54623,14265,15702,71,60,24525
HASANABI,June 2022,54706,13391,15632,88,50,25545
HASANABI,May 2022,52874,13540,15315,74,56,23889
HASANABI,April 2022,46885,11528,12205,73,51,23028
HASANABI,March 2022,51105,13936,14321,75,50,22723
HASANABI,February 2022,61395,16575,17251,79,61,27429
HASANABI,January 2022,66052,18565,23048,124,80,24235
HASANABI,December 2021,61049,16208,22774,100,75,21892
HASANABI,November 2021,49044,14181,15294,95,72,19402
HASANABI,October 2021,49467,13667,13788,111,68,21833
HASANABI,September 2021,50707,14057,16786,112,67,19685
HASANABI,August 2021,52429,16679,16986,110,95,18559
HASANABI,July 2021,46991,15160,14821,132,82,16796
HASANABI,June 2021,46893,15530,14194,129,70,16970
HASANABI,May 2021,43760,13124,12550,113,87,17886
HASANABI,April 2021,40530,11938,14089,145,91,14267
HASANABI,March 2021,39357,11559,13265,145,80,14308
HASANABI,February 2021,39093,12150,10267,108,96,16472
HASANABI,January 2021,60467,14400,19870,162,125,25910
HASANABI,December 2020,41418,0,40953,223,123,119
HASANABI,November 2020,59823,0,45674,147,100,13902
HASANABI,October 2020,32064,0,31809,149,106,0
