Nombres Streamers,AVG viewers,Time Streamed (hours),All time peak viewers,Hours watched,Rank,Followers gained,Total followers,Total views
AURONPLAY,132085,111.3,602038,14.7M,1,350K,13.8M,263M
ELSPREEN,89107,139,200921,12.4M,2,576K,5.37M,32.9M
XQC,58057,265.2,278176,15.4M,3,61.3K,11.1M,525M
KAICENAT,52631,238.3,132866,12.5M,4,276K,2.02M,9.15M
LEC,62056,122.8,400312,7.62M,5,55.0K,1.82M,149M
IBAI,58857,129,3356074,7.59M,6,215K,11.6M,359M
TARIK,45612,185.1,187886,8.44M,7,112K,2.24M,93.3M
ELMARIANA,56550,113.3,128442,6.41M,8,413K,5.47M,33.3M
LCK_KOREA,54855,120.3,623617,6.60M,9,22.3K,1.37M,408M
ADINROSS,59247,94.4,254923,5.59M,10,96.6K,6.46M,52.4M
VALORANT,37981,205.8,344755,7.81M,11,265K,3.34M,129M
LCS,35293,229.4,400429,8.10M,12,64.7K,1.88M,167M
ROCKETLEAGUE,72959,42.9,259144,3.13M,13,35.9K,3.73M,312M
PAULINHOLOKOBR,61134,68.7,149938,4.20M,14,240K,1.01M,86.0K
BLASTPREMIER,50770,103.2,270934,5.24M,15,53.1K,1.37M,114M
TRAINWRECKSTV,30606,231.7,82731,7.09M,16,39.3K,2.07M,98.5M
FPS_SHAKA,23412,319.3,73274,7.47M,17,22.9K,939K,136M
GAULES,12232,716.1,707648,8.76M,18,22.4K,3.62M,405M
ELIASN97,32929,190.5,189931,6.27M,19,52.7K,1.18M,23.3M
ESL_DOTA2,55461,65,263970,3.60M,20,26.0K,648K,93.1M
LOUD_CORINGA,43830,110.9,307450,4.86M,21,75.9K,3.47M,50.8M
ESL_CSGO,20391,361.9,562080,7.38M,22,40.7K,5.56M,770M
NIX,45161,94.8,150020,4.28M,23,42.6K,316K,18.7M
ROSHTEIN,23384,283.3,84977,6.63M,24,32.1K,1.07M,94.7M
LCK,53260,56.2,307586,2.99M,25,30.0K,1.51M,143M
JUANSGUARNIZO,35676,139.7,409967,4.98M,26,299K,8.99M,168M
HASANABI,32181,167,226974,5.37M,27,32.1K,2.17M,114M
RUBIUS,34680,132.6,372079,4.60M,28,190K,12.7M,273M
STYLISHNOOB4,16283,388.7,112628,6.33M,29,31.0K,871K,129M
RTAINJAPAN,40941,80.5,182595,3.30M,30,18.2K,277K,17.9M
PGL_DOTA2,33186,121.1,161982,4.02M,31,31.1K,301K,38.0M
CBLOL,44166,61.7,281184,2.73M,32,20.2K,1.49M,233M
ILLOJUAN,33871,114.8,172186,3.89M,33,113K,2.49M,72.0M
SHROUD,25698,181.2,516289,4.66M,34,83.6K,10.3M,571M
NICKMERCS,24133,184,371232,4.44M,35,24.1K,6.57M,223M
MIZKIF,32656,102.2,192216,3.34M,36,15.4K,2.10M,103M
MONTANABLACK88,43375,47.6,194927,2.06M,37,48.8K,4.65M,156M
CASIMITO,27180,137.2,534644,3.73M,38,84.4K,2.74M,37.8M
QUACKITYTOO,49779,17.2,140697,856K,39,154K,2.91M,3.51M
加藤純一です,23068,170.6,241593,3.93M,40,13.1K,653K,38.4M
OTPLOL_,7864,719.2,204072,5.66M,41,8.7K,574K,100.0M
LPL,29239,103.8,149720,3.03M,42,28.7K,897K,110M
LOLTYLER1,18162,219.6,368484,3.99M,43,20.2K,5.06M,301M
DOMINGO,27526,104.3,193354,2.87M,44,48.7K,1.50M,121M
SODAPOPPIN,18880,199.8,110052,3.77M,45,9.5K,8.81M,398M
ELRAENN,26595,107.6,163915,2.86M,46,108K,3.53M,101M
VALORANT_JPN,28084,94.1,113833,2.64M,47,21.3K,344K,23.4M
BRUCEDROPEMOFF,33358,60.7,69077,2.02M,48,93.6K,963K,7.84M
SUMMIT1G,12418,354.9,310998,4.41M,49,4.1K,6.12M,505M
ZERATOR,24625,121,707071,2.98M,50,37.8K,1.48M,156M
한동숙,17604,210.5,58017,3.71M,51,8.0K,512K,140M
LUQUET4,20364,163.7,92525,3.33M,52,132K,704K,4.45M
LVPES,21999,135.7,232608,2.98M,53,15.6K,987K,241M
LIRIK,20053,152.6,89170,3.06M,54,1.5K,2.90M,422M
BETBOOM_RU,18680,161.2,93935,3.01M,55,37.5K,158K,18.9M
RAINBOW6,28170,65.2,191703,1.84M,56,19.3K,2.35M,115M
AMINEMATUE,31556,44.6,137141,1.41M,57,60.7K,1.26M,14.9M
GEORGENOTFOUND,39509,7.1,387003,279K,58,1.7K,4.84M,21.4M
풍월량,14289,223.3,44351,3.19M,59,2.1K,590K,158M
NMPLOL,23311,88.6,85653,2.07M,60,11.9K,1.02M,54.7M
TENZ,24922,75.2,85010,1.87M,61,121K,3.05M,52.8M
WILBURSOOT,39113,5.6,215211,217K,62,19.0K,4.60M,25.1M
THEREALKNOSSI,29040,45.8,336065,1.33M,63,31.9K,2.04M,68.7M
QUIN69,12463,259.7,44153,3.24M,64,5.3K,701K,113M
CSGO_MC,17963,141.9,364816,2.55M,65,11.7K,1.15M,151M
울프,24075,75.9,105866,1.83M,66,9.8K,428K,29.0M
SQUEEZIE,36134,11.4,388941,411K,67,20.2K,3.65M,66.7M
CELLBIT,17019,153,151997,2.60M,68,36.3K,2.44M,84.1M
우왁굳,14432,200.9,44069,2.90M,69,10.3K,880K,86.3M
EVELONE192,32620,23.2,153742,756K,70,13.8K,2.22M,99.1M
YOURRAGEGAMING,19549,114.3,50469,2.24M,71,61.8K,1.12M,11.2M
GERARDROMERO,15333,177.8,146872,2.73M,72,80.3K,334K,4.54M
ANTOINEDANIEL,20052,103,74618,2.06M,73,38.4K,871K,37.3M
KAMET0,16345,149,419458,2.43M,74,11.8K,1.46M,108M
BUSTER,23818,64.1,162925,1.53M,75,52.8K,3.19M,114M
JLTOMY,13138,208.8,261719,2.74M,76,14.4K,1.09M,50.3M
ALANZOKA,17763,117.7,147051,2.09M,77,47.7K,5.90M,206M
BIYIN_,21939,71,174435,1.56M,78,139K,2.88M,28.6M
WARFRAME,32971,8.1,433736,268K,79,10.2K,1.77M,36.3M
MOONMOON,14577,162.1,42066,2.36M,80,2.5K,1.13M,99.5M
ZACKRAWRR,11131,246.3,40857,2.74M,81,53.5K,892K,21.8M
JUST_NS,16065,133.7,114216,2.15M,82,10.2K,536K,55.5M
K4SEN,14978,151.1,66627,2.26M,83,23.8K,403K,10.2M
GRONKH,19190,90.7,115784,1.74M,84,10.1K,1.49M,112M
ELXOKAS,10638,255.9,1208144,2.72M,85,10.7K,2.96M,96.9M
GABEPEIXE,10856,247,101307,2.68M,86,43.8K,913K,19.5M
AUSTINSHOW,30645,11.8,186197,361K,87,13.0K,1.66M,42.6M
WESTCOL,22478,53.4,45067,1.20M,88,98.6K,651K,5.12M
HISWATTSON,10815,235.1,21393,2.54M,89,72.2K,358K,1.35M
NOWAY4U_SIR,11928,201.7,39459,2.41M,90,6.4K,559K,101M
GORGC,12484,184.6,55738,2.30M,91,8.3K,596K,83.4M
TSM_IMPERIALHAL,16173,113.5,108815,1.84M,92,26.4K,1.67M,70.5M
RIVERS_GG,15384,122.2,67309,1.88M,93,274K,1.78M,4.56M
AMOURANTH,8606,304.7,33530,2.62M,94,78.5K,5.80M,401M
TFUE,12391,172.2,316214,2.13M,95,34.9K,11.2M,310M
IITZTIMMY,8760,290.6,138482,2.55M,96,86.8K,2.41M,46.2M
MOISTCR1TIKAL,13335,149.3,69435,1.99M,97,73.3K,4.44M,59.3M
ETOILES,14715,122.1,242237,1.80M,98,46.5K,781K,44.5M
TOMMYINNIT,28051,7.8,650237,219K,99,13.6K,7.28M,64.2M
YODA,10888,203.6,132814,2.22M,100,10.4K,2.35M,248M
PARADEEV1CH,23418,30.9,81966,723K,101,52.2K,1.11M,12.4M
CDAWGVA,15888,99.8,31802,1.59M,102,43.0K,853K,9.13M
CARRERAAA,13450,138.9,43252,1.87M,103,249K,2.62M,10.7M
DOUBLELIFT,14595,117.3,64735,1.71M,104,6.5K,1.73M,102M
JASPER7SE,13396,137.3,42321,1.84M,105,14.9K,381K,32.6M
TRYMACS,17285,77.9,365000,1.35M,106,20.9K,3.09M,148M
REBIRTHZTV,12770,143.3,47600,1.83M,107,12.3K,682K,46.4M
RANBOOLIVE,22595,27.7,346132,625K,108,23.1K,4.40M,66.9M
BUDDHA,10811,184.3,67137,1.99M,109,5.4K,820K,71.9M
VALORANT_BR,13834,117.8,120540,1.63M,110,28.2K,500K,16.6M
COHHCARNAGE,9165,217.7,68777,2.00M,111,3.1K,1.45M,223M
MIXWELL,16499,67.9,87546,1.12M,112,27.8K,868K,26.4M
