Nombres Streamers,AVG viewers,Time Streamed (hours),All time peak viewers,Hours watched,Rank,Followers gained,Total followers,Total views
EAMADDENNFL,21549,22.8,97361,490K,113,29.6K,490K,24.2M
KORESHZY,18936,40.4,64628,766K,114,57.6K,1.06M,12.3M
CAEDREL,13490,103.4,40670,1.39M,115,12.3K,364K,14.2M
CLIX,11055,150.9,101555,1.67M,116,38.7K,5.41M,123M
BAIANO,13405,103.8,130745,1.39M,117,6.8K,775K,60.5M
蝦愛橘子,3826,655,9944,2.51M,118,4.3K,144K,73.3M
EWROON,11623,136,34314,1.58M,119,4.1K,846K,70.7M
PRIMELEAGUE,17678,48,69881,849K,120,11.4K,189K,24.9M
THEBAUSFFS,14670,80.8,47879,1.19M,121,21.8K,812K,22.1M
BLAZERAFFLE,23614,6,37266,142K,122,45.7K,229K,--
PONCE,11908,123.1,102442,1.47M,123,23.5K,799K,60.7M
INTOHEEKI,23173,5.2,39741,121K,124,10.0K,22.6K,13.0K
FABRIZIOROMANO,21702,13,73909,282K,125,28.3K,524K,6.39M
JERMA985,18679,32.5,101270,607K,126,20.0K,1.06M,21.8M
TUMBLURR,12984,96.8,45523,1.26M,127,17.0K,963K,23.2M
FORSEN,9771,164.8,80860,1.61M,128,2.3K,1.64M,171M
THEGAMEAWARDS,22405,5.6,257778,126K,129,5.5K,838K,10.7M
PENTA,9069,181.8,22781,1.65M,130,3.2K,338K,22.6M
WTCN,13390,85.3,113911,1.14M,131,18.1K,2.78M,142M
LLA,16807,44.1,302299,741K,132,13.2K,517K,35.0M
BYSL4M,11872,108.4,106769,1.29M,133,31.1K,152K,2.77M
CHOWH1,8685,189.5,59343,1.65M,134,23.0K,641K,30.4M
EMIRU,18220,28.3,51303,516K,135,27.3K,1.03M,16.1M
MISTERMV,11220,117.1,70183,1.31M,136,22.4K,815K,86.1M
TWITCHRIVALS,15229,54.7,189150,833K,137,21.2K,2.20M,269M
FEXTRALIFE,9505,157.6,213773,1.50M,138,-8.1K,1.35M,"2,147M"
KENDINEMUZISYEN,12351,93.6,92142,1.16M,139,35.3K,2.45M,101M
GMHIKARU,10927,120.7,76963,1.32M,140,12.5K,1.47M,175M
POKEMONGO,18350,24.5,46297,449K,141,64.7K,165K,2.50M
THEGREFG,11692,102.1,2470347,1.19M,142,59.6K,10.2M,263M
EVELONE2004,17116,32.8,56415,561K,143,32.6K,458K,2.52M
ESPORTS_RAGE,19141,16.8,74276,322K,144,7.3K,112K,3.05M
IWDOMINATE,8344,188.2,26774,1.57M,145,5.9K,846K,71.1M
ERAY,10885,114.9,30042,1.25M,146,62.5K,639K,19.3M
FARFADOXVEVO,11186,108.5,51180,1.21M,147,75.8K,1.20M,9.81M
LOLPACIFICTW,14336,56.4,165491,808K,148,1.9K,211K,44.9M
LVNDMARK,8332,180.7,142376,1.51M,149,11.5K,950K,62.7M
SWEETDREAMS,8833,163,35754,1.44M,150,27.8K,763K,22.4M
ELAJJAZ,7114,227.4,22212,1.62M,151,868,442K,70.4M
DISGUISEDTOAST,9776,132.7,61522,1.30M,152,12.0K,2.73M,90.3M
IRONMOUSE,9472,140.5,31343,1.33M,153,35.9K,1.34M,21.5M
DOTA2MC,13716,60.8,238996,833K,154,1.2K,710K,202M
ZERKAA,12294,78.4,37875,963K,155,16.4K,1.33M,42.7M
ABUGOKU9999,7478,203.6,34917,1.52M,156,22.5K,353K,7.64M
VYSOTZKY,10886,103.3,50297,1.12M,157,11.3K,317K,8.91M
CALL OF DUTY,17160,22.4,225308,384K,158,26.3K,1.11M,63.4M
CONTERSTINE,7533,199.3,62851,1.50M,159,100K,1.03M,16.8M
STROGO,17704,17.3,46255,305K,160,11.9K,1.03M,32.2M
ESFANDTV,6864,224.8,55398,1.54M,161,12.3K,1.16M,81.9M
OTZDARVA,8883,145.4,37035,1.29M,162,15.6K,828K,20.7M
SHXTOU,11991,77,34406,923K,163,77.3K,812K,1.35M
N3KOGLAI,17408,16.7,543743,290K,164,9.0K,2.37M,12.8M
POKIMANE,17328,17.3,138482,300K,165,6.1K,9.23M,220M
WHOPLOHOYPAREN,13300,56.6,71594,753K,166,45.6K,682K,6.68M
SHAHZAM,6491,238.2,35580,1.55M,167,42.5K,1.60M,51.9M
KYEDAE,10501,102.2,107583,1.07M,168,92.3K,1.85M,31.1M
CORINNAKOPF,13641,51.8,22874,707K,169,73.9K,968K,4.92M
HYPE,11132,88.6,54574,986K,170,11.0K,557K,28.4M
JBZZED,6820,217.9,18966,1.49M,171,44.4K,483K,12.8M
ACEU,9412,125.6,36749,1.18M,172,26.4K,2.74M,71.1M
PIUZINHO,9333,127.5,50979,1.19M,173,119K,319K,--
서새봄냥,5275,314.6,40819,1.66M,174,1.6K,653K,130M
SINATRAA,7632,180.1,33601,1.37M,175,51.3K,1.65M,49.7M
FANUM,9666,117,25058,1.13M,176,76.1K,572K,1.19M
VOODOOSH,7089,201,31729,1.42M,177,11.1K,227K,41.3M
LVPES2,10431,97.1,94398,1.01M,178,13.6K,488K,72.3M
CASTRO_1021,10745,90.1,180269,968K,179,7.4K,3.54M,136M
BRATISHKINOFF,12410,61.6,146916,764K,180,23.3K,2.25M,114M
SILVERNAME,11683,72.4,47383,846K,181,2.2K,792K,159M
NINJA,12860,54.9,616693,705K,182,26.7K,18.3M,572M
SUPERBUSS_,8619,138.7,39799,1.19M,183,12.9K,227K,7.73M
NBA2KLEAGUE,12184,60.1,194136,732K,184,7.3K,200K,192M
STRAY228,9515,109.4,44560,1.04M,185,22.3K,1.26M,120M
KATIE_CALLS,15164,25.2,21707,382K,186,30,1.8K,--
WARCRAFT,11806,65.3,98596,771K,187,17.0K,658K,82.6M
K3SOJU,12273,58.3,29469,715K,188,2.6K,398K,21.9M
KATIE_NALLS,15321,23.4,24785,358K,189,1.9K,2.0K,--
B0ATY,5689,260.1,42801,1.48M,190,5.1K,564K,83.1M
WIRTUAL,7587,165.7,15478,1.26M,191,10.5K,295K,5.29M
랄로,12779,49,43686,626K,192,8.9K,541K,16.1M
EDWIN_LIVE,7819,149.8,28820,1.17M,193,14.2K,318K,5.03M
PAYMONEYWUBBY,13638,34.7,44403,473K,194,3.1K,568K,11.9M
ENVIOSITY,4397,351.4,81491,1.55M,195,25.1K,710K,23.2M
ESL_DOTA2B,13585,34.3,69232,466K,196,11.3K,153K,5.08M
DIARIOMARCA,8510,123.9,54270,1.05M,197,3.9K,18.3K,9.60M
CRITICALROLE,12876,42.3,212816,545K,198,7.8K,1.14M,32.2M
괴물쥐123,6972,175.9,73569,1.23M,199,10.5K,801K,56.0M
COREANO,4595,326.9,62371,1.50M,200,14.6K,485K,17.8M
BECCA_PILLS,14879,20.3,24543,302K,201,18,1.2K,--
RECRENT,5435,254.2,47737,1.38M,202,14.8K,807K,74.3M
FUSLIE,10061,82.1,55550,826K,203,8.4K,1.22M,54.2M
ELDED,8077,130.8,54483,1.06M,204,42.5K,5.22M,82.4M
MARKITONAVAJA,15972,8.5,107980,135K,205,9.3K,1.81M,19.2M
QTCINDERELLA,12262,45.2,381436,554K,206,20.0K,789K,21.2M
PAULETA_TWITCH,10350,75,42305,777K,207,14.8K,388K,4.53M
MCH_AGG,2381,713.2,46841,1.70M,208,15.9K,571K,36.4M
침착맨,9371,93.9,43949,880K,209,8.1K,697K,73.8M
EGORKREED,10786,66.1,56996,713K,210,32.2K,1.04M,12.5M
MCKYTV,7532,144.7,76882,1.09M,211,13.8K,1.27M,48.5M
MAXIMILIAN_DOOD,9122,98.6,62310,900K,212,4.4K,1.12M,84.3M
SKIPNHO,5412,243,54389,1.31M,213,10.4K,1.23M,77.9M
릴파_,8422,114.1,38159,961K,214,9.3K,199K,5.62M
ALDO_GEO,8954,99.7,31934,893K,215,56.1K,895K,4.83M
TANZVERBOT,12525,38,32258,476K,216,37.5K,672K,8.99M
CHRISTIANVIERIOFFICIAL,14470,17,57964,246K,217,14.5K,499K,3.30M
RIOTGAMESTURKISH,11522,49.8,63733,574K,218,7.3K,825K,170M
YATORORAIN,9761,77.7,28460,759K,219,63.0K,212K,1.74M
KATIE_AALLS,13521,23.4,23895,317K,220,747,2.6K,--
YBICANOOOOBOV,6265,185.4,21005,1.16M,221,6.1K,630K,87.7M
PAPESAN,9765,75.3,23736,735K,222,58.9K,203K,741K
IMLS,5766,208.3,43612,1.20M,223,23.1K,633K,40.1M
SWAGG,9340,83.3,90947,778K,224,12.8K,2.12M,46.1M
릴카,5984,194.9,19976,1.17M,225,16.9K,262K,4.48M
DOPA24,11677,42.9,44614,500K,226,13.3K,652K,16.6M
BRAWLHALLA,12140,36.6,162409,444K,227,12.7K,1.75M,32.7M
AFROPUNK,13175,24.4,23833,321K,228,3.0K,5.4K,2.33M
らっだぁ,9360,81.4,31651,762K,229,10.7K,364K,8.61M
JOUEUR_DU_GRENIER,11440,45.3,181902,518K,230,12.3K,812K,22.4M
UNLEASHTHEFEASTTV,15088,5.8,26907,86.8K,231,215,2.3K,--
LYONWGFLIVE,14020,14.8,76770,208K,232,7.0K,877K,15.2M
CAROLA,6927,148.1,79320,1.03M,233,92.2K,1.19M,20.3M
39DAPH,6006,188,44646,1.13M,234,7.9K,1.09M,32.5M
비챤_,8106,107.4,19281,871K,235,9.8K,186K,5.27M
SHADOWKEKW,11586,39.9,34509,462K,236,7.9K,331K,9.74M
XAYOO_,14007,12.8,190279,179K,237,2.2K,929K,53.6M
SCUMP,13917,13.2,101779,184K,238,5.8K,1.30M,42.7M
老皮,6853,146.7,20032,1.01M,239,3.4K,515K,138M
JESUSAVGN,8316,99.4,106667,827K,240,12.9K,1.54M,75.6M
KNUT,5830,191.4,53655,1.12M,241,33.7K,362K,9.10M
YOUNGMULTI,10535,53.3,33776,562K,242,25.1K,686K,9.49M
JANKOS,10552,53,42426,559K,243,8.9K,1.21M,61.7M
KYLE,6067,177.5,28896,1.08M,244,4.6K,481K,30.8M
ARIGAMEPLAYS,9795,65,281402,637K,245,200K,4.97M,36.9M
김도,5561,201.4,16612,1.12M,246,262,318K,67.5M
NORTHERNLION,8314,95.9,50421,797K,247,4.9K,581K,37.0M
